accession,organism_name,common_name,species_taxid,infraclass,order,family,genus,assembly_name,assembly_level,refseq_category,scaffold_n50,contig_n50,total_sequence_length,scaffold_count,contig_count,gc_percent,genome_coverage,gene_count,protein_coding_count,submission_date,annotation_name
GCF_023091745.1,Budorcas taxicolor,takin,37181,Mammalia,Artiodactyla,Bovidae,Budorcas,Takin1.1,Chromosome,reference genome,109747698,68053581,2851638285,1362,1514,43.5,24,28399,20434,2022-04-22,GCF_023091745.1-RS_2023_02
GCF_002742125.1,Ovis aries,sheep,9940,Mammalia,Artiodactyla,Bovidae,Ovis,Oar_rambouillet_v1.0,Chromosome,,107697089,2572683,2869897780,2640,7485,42,126,33623,21160,2017-11-02,NCBI Ovis aries Annotation Release 103
GCF_000247795.1,Bos indicus,zebu cattle,9915,Mammalia,Artiodactyla,Bovidae,Bos,Bos_indicus_1.0,Chromosome,,106310653,28375,2673949103,31,253769,41.5,52,26229,19786,2014-11-25,NCBI Bos indicus Annotation Release 100
GCF_042477335.2,Ovis canadensis,bighorn sheep,37174,Mammalia,Artiodactyla,Bovidae,Ovis,ARS-UI_OviCan_v2,Chromosome,reference genome,105224494,105224494,2974267070,41,44,44,,35002,20615,2024-10-18,GCF_042477335.2-RS_2024_12
GCF_029378745.1,Bos indicus,zebu cattle,9915,Mammalia,Artiodactyla,Bovidae,Bos,NIAB-ARS_B.indTharparkar_mat_pri_1.0,Chromosome,reference genome,104596815,42080189,2663005763,67,350,42,50,34142,20976,2023-03-24,GCF_029378745.1-RS_2024_12
GCF_003369695.1,Bos indicus x Bos taurus,hybrid cattle,30522,Mammalia,Artiodactyla,Bovidae,Bos,UOA_Brahman_1,Chromosome,reference genome,104466507,26764281,2680953056,1250,1552,42,136,32783,20846,2018-11-30,NCBI Bos indicus x Bos taurus Annotation Release 100
GCF_027580195.1,Bos mutus,wild yak,72004,Mammalia,Artiodactyla,Bovidae,Bos,NWIPB_WYAK_1.1,Chromosome,reference genome,103902138,38284421,2626900860,2039,2234,42,287.36,30156,20029,2023-01-09,GCF_027580195.1-RS_2024_12
GCF_002263795.3,Bos taurus,domestic cattle,9913,Mammalia,Artiodactyla,Bovidae,Bos,ARS-UCD2.0,Chromosome,reference genome,103308737,26402946,2770669782,1957,2343,42,,37063,21667,2023-07-01,GCF_002263795.3-RS_2024_12
GCF_016772045.2,Ovis aries,sheep,9940,Mammalia,Artiodactyla,Bovidae,Ovis,ARS-UI_Ramb_v3.0,Chromosome,reference genome,101274418,43178051,2654047367,142,226,42,,35057,21300,2023-07-20,GCF_016772045.2-RS_2023_10
GCF_000298735.2,Ovis aries,sheep,9940,Mammalia,Artiodactyla,Bovidae,Ovis,Oar_v4.0,Chromosome,,100009711,150472,2615499683,5465,48481,42,166,27744,20545,2015-11-20,NCBI Ovis aries Annotation Release 102
GCF_032452875.1,Bos javanicus,banteng,9906,Mammalia,Artiodactyla,Bovidae,Bos,ARS-OSU_banteng_1.0,Chromosome,reference genome,87549292,47146240,2972795249,1517,1601,43,60,35317,21582,2023-10-11,GCF_032452875.1-RS_2023_12
GCF_001704415.2,Capra hircus,goat,9925,Mammalia,Artiodactyla,Bovidae,Capra,ARS1.2,Chromosome,reference genome,87277232,26244591,2922600443,29885,30377,43,50,28911,20572,2016-08-24,NCBI Capra hircus Annotation Release 102
GCF_048773025.1,Camelus bactrianus,Bactrian camel,9837,Mammalia,Artiodactyla,Camelidae,Camelus,ASM4877302v1,Chromosome,reference genome,79915242,54723239,2473901565,157,284,42,30,33174,19886,2025-03-21,GCF_048773025.1-RS_2025_06
GCF_009834535.1,Camelus ferus,Wild Bactrian camel,419612,Mammalia,Artiodactyla,Camelidae,Camelus,BCGSAC_Cfer_1.0,Chromosome,reference genome,76025729,5365398,2087077296,2042,4387,41.5,50,33358,20222,2020-01-08,NCBI Camelus ferus Annotation Release 102
GCF_048564905.1,Vicugna pacos,alpaca,30538,Mammalia,Artiodactyla,Camelidae,Vicugna,VicPac4,Chromosome,reference genome,75404351,40278543,2572244716,519,1200,42,80,41050,21233,2025-03-12,GCF_048564905.1-RS_2025_04
GCF_036321535.1,Camelus dromedarius,Arabian camel,9838,Mammalia,Artiodactyla,Camelidae,Camelus,mCamDro1.pat,Chromosome,reference genome,72991593,31216184,2306603094,171,366,41.5,39.4,30879,19771,2024-01-31,GCF_036321535.1-RS_2024_04
GCF_000803125.2,Camelus dromedarius,Arabian camel,9838,Mammalia,Artiodactyla,Camelidae,Camelus,CamDro3,Chromosome,,70369702,236391,2169346739,21069,53084,41.5,65,32420,20062,2019-10-07,NCBI Camelus dromedarius Annotation Release 101
GCF_963930625.1,Muntiacus reevesi,Reeves' muntjac,9886,Mammalia,Artiodactyla,Cervidae,Muntiacus,mMunRee1.1,Chromosome,reference genome,114544513,5780196,2656168540,267,949,42,42,33112,21410,2024-01-31,GCF_963930625.1-RS_2024_06
GCF_910594005.1,Cervus elaphus,red deer,9860,Mammalia,Artiodactyla,Cervidae,Cervus,mCerEla1.1,Chromosome,reference genome,83473711,68741660,2886603524,144,184,43,30,37348,22941,2021-07-07,NCBI Cervus elaphus Annotation Release 100
GCF_019320065.1,Cervus canadensis,elk,1574408,Mammalia,Artiodactyla,Cervidae,Cervus,ASM1932006v1,Chromosome,reference genome,77654944,914577,2526613007,185,6828,41.5,686,35756,22348,2021-07-26,NCBI Cervus canadensis Annotation Release 100
GCF_033118175.1,Dama dama,fallow deer,30532,Mammalia,Artiodactyla,Cervidae,Dama,ASM3311817v1,Chromosome,reference genome,77069784,68791581,3104280228,284,328,42.5,40,34584,22157,2023-11-02,GCF_033118175.1-RS_2023_11
GCF_023699985.2,Odocoileus virginianus,white-tailed deer,9874,Mammalia,Artiodactyla,Cervidae,Odocoileus,Ovbor_1.2,Chromosome,reference genome,66396233,21769372,2423246854,480,717,41.5,150,35924,20237,2024-10-17,GCF_023699985.2-RS_2024_12
GCF_937001465.1,Orcinus orca,killer whale,9733,Mammalia,Artiodactyla,Delphinidae,Orcinus,mOrcOrc1.1,Chromosome,reference genome,114219206,45583382,2647335075,447,570,42,34,31447,19396,2022-05-03,GCF_937001465.1-RS_2023_02
GCF_949774975.1,Lagenorhynchus albirostris,white-beaked dolphin,27610,Mammalia,Artiodactyla,Delphinidae,Lagenorhynchus,mLagAlb1.1,Chromosome,reference genome,110721866,3398034,2544819402,409,1479,42,33,28611,19117,2023-04-08,GCF_949774975.1-RS_2023_10
GCF_039906515.1,Pseudorca crassidens,false killer whale,82174,Mammalia,Artiodactyla,Delphinidae,Pseudorca,mPseCra1.hap1,Chromosome,reference genome,110095734,58817648,2674592094,438,561,42,37.79,31975,18472,2024-05-31,GCF_039906515.1-RS_2024_08
GCF_011762595.2,Tursiops truncatus,common bottlenose dolphin,9739,Mammalia,Artiodactyla,Delphinidae,Tursiops,mTurTru1.mat.Y,Chromosome,reference genome,108430135,9729386,2378505825,361,1035,41.5,63.7,30702,18550,2024-12-12,GCF_011762595.2-RS_2025_04
GCF_949987515.2,Delphinus delphis,saddleback dolphin,9728,Mammalia,Artiodactyla,Delphinidae,Delphinus,mDelDel1.2,Chromosome,reference genome,107080983,3627551,2663516986,630,1598,42,29,27112,18393,2024-09-07,GCF_949987515.2-RS_2024_10
GCF_951394435.1,Stenella coeruleoalba,striped dolphin,9737,Mammalia,Artiodactyla,Delphinidae,Stenella,mSteCoe1.1,Chromosome,reference genome,105253534,3590204,2691406842,637,1630,42,35,24335,19169,2023-06-16,GCF_951394435.1-RS_2025_09
GCF_963455315.2,Globicephala melas,long-finned pilot whale,9731,Mammalia,Artiodactyla,Delphinidae,Globicephala,mGloMel1.2,Chromosome,reference genome,105087932,3290841,2651276051,992,2076,42.5,29,29204,18508,2024-09-07,GCF_963455315.2-RS_2024_11
GCF_028021215.1,Eschrichtius robustus,grey whale,9764,Mammalia,Artiodactyla,Eschrichtiidae,Eschrichtius,mEscRob2.pri,Chromosome,reference genome,126538682,39209000,2982418581,703,982,41.5,29.61,29276,18965,2023-01-31,GCF_028021215.1-RS_2024_09
GCF_030028045.1,Hippopotamus amphibius kiboko,,575201,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,mHipAmp2.hap2,Chromosome,reference genome,149218186,50348260,2538242855,356,582,41.5,33,32857,22139,2023-05-18,GCF_030028045.1-RS_2023_06
GCF_008692025.1,Phocoena sinus,vaquita,42100,Mammalia,Artiodactyla,Phocoenidae,Phocoena,mPhoSin1.pri,Chromosome,reference genome,115469292,20218762,2371524154,64,272,41.5,67.26,26497,19069,2019-09-26,NCBI Phocoena sinus Annotation Release 100
GCF_963924675.1,Phocoena phocoena,harbor porpoise,9742,Mammalia,Artiodactyla,Phocoenidae,Phocoena,mPhoPho1.1,Chromosome,reference genome,110192646,3726689,2512713112,439,1405,41.5,24,25973,18252,2024-01-29,GCF_963924675.1-RS_2024_06
GCF_026419965.1,Kogia breviceps,pygmy sperm whale,27615,Mammalia,Artiodactyla,Physeteridae,Kogia,mKogBre1 haplotype 1,Chromosome,reference genome,122394096,42780423,2555838840,580,723,42,23,28611,18349,2022-11-27,GCF_026419965.1-RS_2024_07
GCF_002837175.3,Physeter macrocephalus,sperm whale,9755,Mammalia,Artiodactyla,Physeteridae,Physeter,ASM283717v5,Chromosome,reference genome,122182240,42877,2496209109,12168,133554,41.5,248,29662,20412,2023-02-28,GCF_002837175.3-RS_2025_01
GCF_016906955.1,Phacochoerus africanus,Common warthog,41426,Mammalia,Artiodactyla,Suidae,Phacochoerus,ROS_Pafr_v1,Chromosome,reference genome,141887063,10602503,2435083091,194,717,42,56,27929,20276,2021-02-19,GCF_016906955.1-RS_2023_03
GCF_000003025.6,Sus scrofa,pig,9823,Mammalia,Artiodactyla,Suidae,Sus,Sscrofa11.1,Chromosome,reference genome,88231837,48231277,2501895775,705,1117,42,65,30371,20666,2017-02-07,NCBI Sus scrofa Annotation Release 106
GCF_025265405.1,Mesoplodon densirostris,Blainville's beaked whale,48708,Mammalia,Artiodactyla,Ziphiidae,Mesoplodon,mMesDen1 primary haplotype,Chromosome,reference genome,125805690,48253041,2683375131,73,170,41.5,43.5,27868,19759,2022-09-19,GCF_025265405.1-RS_2023_10
GCF_949752795.1,Hyperoodon ampullatus,northern bottlenose whale,48744,Mammalia,Artiodactyla,Ziphiidae,Hyperoodon,mHypAmp2.1,Chromosome,reference genome,117448692,3126546,2828744367,756,1854,42,28,22592,19045,2023-03-31,GCF_949752795.1-RS_2025_09
GCF_048418805.1,Vulpes vulpes,red fox,9627,Mammalia,Carnivora,Canidae,Vulpes,VulVul3,Chromosome,reference genome,139969695,55675583,2395584468,289,393,41.5,75,32809,19905,2025-03-05,GCF_048418805.1-RS_2025_03
GCF_018345385.1,Vulpes lagopus,Arctic fox,494514,Mammalia,Carnivora,Canidae,Vulpes,ASM1834538v1,Chromosome,reference genome,131537142,33460300,2345533697,928,1455,41.5,121,30615,20695,2021-05-12,NCBI Vulpes lagopus Annotation Release 100
GCF_053574225.1,Canis aureus,golden jackal,68724,Mammalia,Carnivora,Canidae,Canis,VMU_Caureus_v.1.0,Chromosome,reference genome,68033816,56644425,2529837068,306,365,41.5,36,44498,20620,2025-11-21,GCF_053574225.1-RS_2025_12
GCF_048164855.1,Canis lupus baileyi,Mexican gray wolf,143281,Mammalia,Carnivora,Canidae,Canis,mCanLup2.hap1,Chromosome,reference genome,65569260,31962680,2495589887,249,416,41.5,35.4,43029,20020,2025-02-27,GCF_048164855.1-RS_2025_03
GCF_011100685.1,Canis lupus familiaris,dog,9615,Mammalia,Carnivora,Canidae,Canis,UU_Cfam_GSD_1.0,Chromosome,reference genome,64299765,14840767,2481983352,2197,2782,41.5,100,43286,21175,2020-03-10,NCBI Canis lupus familiaris Annotation Release 106
GCF_003254725.2,Canis lupus dingo,dingo,286419,Mammalia,Carnivora,Canidae,Canis,ASM325472v2,Chromosome,reference genome,64250934,40716615,2349862946,159,228,41,60,40364,20775,2020-09-11,NCBI Canis lupus dingo Annotation Release 102
GCF_005444595.1,Canis lupus familiaris,dog,9615,Mammalia,Carnivora,Canidae,Canis,UMICH_Zoey_3.1,Chromosome,,64204256,4722218,2343202000,793,1792,41,50,41434,20593,2019-05-30,NCBI Canis lupus familiaris Annotation Release 106
GCF_014441545.1,Canis lupus familiaris,dog,9615,Mammalia,Carnivora,Canidae,Canis,ROS_Cfam_1.0,Chromosome,,64037277,12024593,2396858295,376,951,41,56.5,42271,20949,2020-09-03,NCBI Canis lupus familiaris Annotation Release 106
GCF_000002285.5,Canis lupus familiaris,dog,9615,Mammalia,Carnivora,Canidae,Canis,Dog10K_Boxer_Tasha,Chromosome,,63738581,27487084,2312785471,146,1161,41.5,100,40373,20087,2020-10-06,NCBI Canis lupus familiaris Annotation Release 106
GCF_018350155.1,Leopardus geoffroyi,Geoffroy's cat,46844,Mammalia,Carnivora,Felidae,Leopardus,O.geoffroyi_Oge1_pat1.0,Chromosome,reference genome,152606360,104474415,2426370816,46,91,42,85,35984,20127,2021-05-13,NCBI Leopardus geoffroyi Annotation Release 100
GCF_028018385.1,Neofelis nebulosa,Clouded leopard,61452,Mammalia,Carnivora,Felidae,Neofelis,mNeoNeb1.pri,Chromosome,reference genome,150204169,51579577,2468345093,33,214,42,32.2,36852,20501,2023-01-31,GCF_028018385.1-RS_2023_07
GCF_016509475.1,Prionailurus bengalensis,leopard cat,37029,Mammalia,Carnivora,Felidae,Prionailurus,Fcat_Pben_1.1_paternal_pri,Chromosome,reference genome,148587958,82622880,2435702060,83,139,42,40,30727,20003,2021-01-06,NCBI Prionailurus bengalensis Annotation Release 100
GCF_018350175.1,Felis catus,domestic cat,9685,Mammalia,Carnivora,Felidae,Felis,F.catus_Fca126_mat1.0,Chromosome,reference genome,148491486,90731473,2425730029,70,109,42,76,39307,20453,2021-05-13,NCBI Felis catus Annotation Release 105
GCF_046562885.1,Panthera onca,jaguar,9690,Mammalia,Carnivora,Felidae,Panthera,mPanOnc1 haplotype 1,Chromosome,reference genome,148304554,45599555,2303345105,115,255,41.5,69,33461,19237,2025-01-08,GCF_046562885.1-RS_2025_12
GCF_018350215.1,Panthera leo,lion,9689,Mammalia,Carnivora,Felidae,Panthera,P.leo_Ple1_pat1.1,Chromosome,reference genome,147402474,77781637,2297552363,53,108,41.5,76,32109,19491,2021-05-13,NCBI Panthera leo Annotation Release 100
GCF_007474595.2,Lynx canadensis,Canada lynx,61383,Mammalia,Carnivora,Felidae,Lynx,mLynCan4.pri.v2,Chromosome,reference genome,147275701,7503561,2407810255,54,894,41.5,72,29379,19742,2020-07-14,NCBI Lynx canadensis Annotation Release 102
GCF_018350195.1,Panthera tigris,tiger,9694,Mammalia,Carnivora,Felidae,Panthera,P.tigris_Pti1_mat1.1,Chromosome,reference genome,146942463,74391967,2408678698,74,139,41.5,78,33598,20232,2021-05-13,NCBI Panthera tigris Annotation Release 102
GCF_022837055.1,Prionailurus viverrinus,fishing cat,61388,Mammalia,Carnivora,Felidae,Prionailurus,UM_Priviv_1.0,Chromosome,reference genome,144906162,68766634,2461545606,191,254,42,30,30894,20111,2022-04-08,GCF_022837055.1-RS_2023_03
GCF_027475565.1,Acinonyx jubatus,cheetah,32536,Mammalia,Carnivora,Felidae,Acinonyx,VMU_Ajub_asm_v1.0,Chromosome,reference genome,144444042,96827784,2377417351,195,217,41.5,50,33469,19999,2022-12-28,GCF_027475565.1-RS_2023_04
GCF_028533385.1,Panthera onca,jaguar,9690,Mammalia,Carnivora,Felidae,Panthera,Panthera_onca_HiC,Chromosome,,138099990,53866,2380242927,36242,92613,41.5,104,35206,21071,2023-02-09,GCF_028533385.1-RS_2023_10
GCF_023721935.1,Panthera uncia,snow leopard,29064,Mammalia,Carnivora,Felidae,Panthera,Puncia_PCG_1.0,Chromosome,reference genome,112063229,179517,2433972596,2635,26421,41.5,31.94,31171,20201,2022-06-16,GCF_023721935.1-RS_2023_02
GCF_006229205.1,Suricata suricatta,meerkat,37032,Mammalia,Carnivora,Herpestidae,Suricata,meerkat_22Aug2017_6uvM2_HiC,Chromosome,reference genome,141453419,75409,2353578744,63791,129036,41.5,50,35499,19608,2019-07-03,NCBI Suricata suricatta Annotation Release 100
GCF_020171115.1,Neogale vison,American mink,452646,Mammalia,Carnivora,Mustelidae,Neogale,ASM_NN_V1,Chromosome,reference genome,220349319,220349319,2681198719,182,182,42.5,21,30220,20422,2021-09-29,NCBI Neovison vison Annotation Release 100
GCF_030435805.1,Mustela lutreola,European mink,9666,Mammalia,Carnivora,Mustelidae,Mustela,mMusLut2.pri,Chromosome,reference genome,154078643,83356672,2586268927,25,64,42,36.15,33402,20701,2023-07-13,GCF_030435805.1-RS_2023_08
GCF_902655055.1,Lutra lutra,Eurasian river otter,9657,Mammalia,Carnivora,Mustelidae,Lutra,mLutLut1.2,Chromosome,reference genome,149004807,30403456,2438442342,43,228,41.5,63,32271,20887,2020-07-31,GCF_902655055.1-RS_2023_03
GCF_022355385.1,Mustela nigripes,black-footed ferret,77151,Mammalia,Carnivora,Mustelidae,Mustela,MUSNIG.SB6536,Chromosome,reference genome,145433501,148763,2498532951,20574,53614,41.5,85,30655,20269,2022-02-24,GCF_022355385.1-RS_2023_09
GCF_922984935.1,Meles meles,Eurasian badger,9662,Mammalia,Carnivora,Mustelidae,Meles,mMelMel3.1 paternal haplotype,Chromosome,reference genome,132955750,75210923,2738678004,537,638,42.5,85,31234,21063,2021-12-19,NCBI Meles meles Annotation Release 100
GCF_009829155.1,Mustela erminea,ermine,36723,Mammalia,Carnivora,Mustelidae,Mustela,mMusErm1.Pri,Chromosome,reference genome,130149454,36329944,2445200799,93,292,41.5,62.86,34309,20934,2020-01-03,NCBI Mustela erminea Annotation Release 100
GCF_009762305.2,Zalophus californianus,California sea lion,9704,Mammalia,Carnivora,Otariidae,Zalophus,mZalCal1.pri.v2,Chromosome,reference genome,147124152,32626160,2409668595,46,229,41.5,80.51,32543,21397,2020-07-14,NCBI Zalophus californianus Annotation Release 101
GCF_964656455.1,Halichoerus grypus,gray seal,9711,Mammalia,Carnivora,Phocidae,Halichoerus,mHalGry1.hap1.1,Chromosome,reference genome,156124300,3750431,2400061917,170,1300,41.5,58,33190,19199,2025-01-02,GCF_964656455.1-RS_2025_12
GCF_002201575.2,Neomonachus schauinslandi,Hawaiian monk seal,29088,Mammalia,Carnivora,Phocidae,Neomonachus,ASM220157v2,Chromosome,reference genome,150810825,181061,2419443398,8094,33881,41.5,56,27736,19838,2021-10-20,NCBI Neomonachus schauinslandi Annotation Release 101
GCF_021288785.2,Mirounga angustirostris,Northern elephant seal,9716,Mammalia,Carnivora,Phocidae,Mirounga,ASM2128878v3,Chromosome,,139676048,76189,2366166981,142455,182391,41.5,125,30411,20358,2022-12-21,GCF_021288785.2-RS_2023_03
GCF_002007445.2,Ailuropoda melanoleuca,giant panda,9646,Mammalia,Carnivora,Ursidae,Ailuropoda,ASM200744v3,Chromosome,reference genome,129245720,127687,2440260518,73513,122819,41.5,93,31335,20837,2020-04-20,NCBI Ailuropoda melanoleuca Annotation Release 103
GCF_023065955.2,Ursus arctos,brown bear,9644,Mammalia,Carnivora,Ursidae,Ursus,UrsArc2.0,Chromosome,reference genome,71981430,35674000,2423401459,361,611,42.5,32,30450,20319,2023-05-22,GCF_023065955.2-RS_2023_06
GCF_036850765.1,Saccopteryx bilineata,greater sac-winged bat,59482,Mammalia,Chiroptera,Emballonuridae,Saccopteryx,mSacBil1_pri_phased_curated,Chromosome,reference genome,300074216,20156883,2612309609,256,713,41.5,70,32535,19291,2024-02-26,GCF_036850765.1-RS_2024_07
GCF_036850995.1,Saccopteryx leptura,lesser sac-winged bat,249018,Mammalia,Chiroptera,Emballonuridae,Saccopteryx,mSacLep1_pri_phased_curated,Chromosome,reference genome,224759591,17812205,2576497192,167,725,42,55,32295,19426,2024-02-26,GCF_036850995.1-RS_2024_07
GCF_004126475.2,Phyllostomus discolor,pale spear-nosed bat,89673,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,mPhyDis1.pri.v3,Chromosome,reference genome,171742863,6892556,2108832841,77,953,42.5,65.8,31980,19754,2020-05-12,NCBI Phyllostomus discolor Annotation Release 101
GCF_022682495.2,Desmodus rotundus,common vampire bat,9430,Mammalia,Chiroptera,Phyllostomidae,Desmodus,HLdesRot8A.1,Chromosome,reference genome,160127860,6739964,2119704833,573,1188,43,32,30007,19269,2022-03-24,GCF_022682495.2-RS_2025_02
GCF_036562045.2,Rhinolophus sinicus,Chinese rufous horseshoe bat,89399,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,ASM3656204v1,Chromosome,reference genome,166556632,42906106,2036377185,454,740,40.5,87.1,28282,18293,2024-06-26,GCF_036562045.2-RS_2025_06
GCF_004115265.2,Rhinolophus ferrumequinum,greater horseshoe bat,59479,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,mRhiFer1_v1.p,Chromosome,reference genome,88025743,31900497,2075768562,134,289,40.5,52.8,27139,19652,2019-05-16,GCF_004115265.2-RS_2023_02
GCF_027574615.1,Eptesicus fuscus,big brown bat,29078,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,DD_ASM_mEF_20220401,Chromosome,reference genome,102817582,49033427,2008057866,48,123,43.5,95,30977,20078,2023-01-09,GCF_027574615.1-RS_2023_03
GCF_963259705.1,Myotis daubentonii,Daubenton's bat,98922,Mammalia,Chiroptera,Vespertilionidae,Myotis,mMyoDau2.1,Chromosome,reference genome,102234773,3062752,2127807131,121,1220,43,40,32043,21049,2023-08-20,GCF_963259705.1-RS_2023_09
GCF_951640355.1,Cnephaeus nilssonii,northern bat,3371016,Mammalia,Chiroptera,Vespertilionidae,Cnephaeus,mEptNil1.1,Chromosome,reference genome,98018206,2474537,2064102006,206,1629,43.5,33,24461,19697,2023-05-18,GCF_951640355.1-RS_2025_09
GCF_030445035.2,Dasypus novemcinctus,nine-banded armadillo,9361,Mammalia,Cingulata,Dasypodidae,Dasypus,mDasNov1.1.hap2,Chromosome,reference genome,127081865,13963394,3610534858,545,1338,41,16.99,43454,21697,2023-07-13,GCF_030445035.2-RS_2025_01
GCF_048593235.1,Sminthopsis crassicaudata,fat-tailed dunnart,9301,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,ASM4859323v1,Chromosome,reference genome,656909261,4359487,3239981553,7,1890,36,78.5,28335,19709,2025-03-17,GCF_048593235.1-RS_2025_05
GCF_016432865.1,Antechinus flavipes,yellow-footed antechinus,38775,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,AdamAnt_v2,Chromosome,reference genome,636717922,51843704,3192643918,485,1103,36,100,27226,20412,2021-01-06,GCF_016432865.1-RS_2023_02
GCF_902635505.1,Sarcophilus harrisii,Tasmanian devil,9305,Mammalia,Dasyuromorphia,Dasyuridae,Sarcophilus,mSarHar1.11,Chromosome,reference genome,611347268,62339597,3086657325,105,444,36,88,26869,19966,2019-11-07,NCBI Sarcophilus harrisii Annotation Release 103
GCF_027409185.1,Cynocephalus volans,Philippine flying lemur,110931,Mammalia,Dermoptera,Cynocephalidae,Cynocephalus,mCynVol1.pri,Chromosome,reference genome,165781880,69195939,2814418120,130,246,40,31.83,31559,21694,2022-12-28,GCF_027409185.1-RS_2024_02
GCF_016433145.1,Gracilinanus agilis,Agile Gracile Mouse Opossum,191870,Mammalia,Didelphimorphia,Didelphidae,Gracilinanus,AgileGrace,Chromosome,reference genome,683521856,73170,3701017385,60713,125011,38,100,26561,21142,2021-01-06,NCBI Gracilinanus agilis Annotation Release 100
GCF_027887165.1,Monodelphis domestica,gray short-tailed opossum,13616,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,mMonDom1.pri,Chromosome,reference genome,538302405,3910714,3586166573,13,2268,38,32.9,32665,21694,2023-01-18,GCF_027887165.1-RS_2023_05
GCF_000002295.2,Monodelphis domestica,gray short-tailed opossum,13616,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,MonDom5,Chromosome,,59809810,108014,3598425998,5222,72673,38,,37371,20903,2007-01-25,NCBI Monodelphis domestica Annotation Release 103
GCF_028372415.1,Notamacropus eugenii,tammar wallaby,9315,Mammalia,Diprotodontia,Macropodidae,Notamacropus,mMacEug1.pri_v2,Chromosome,reference genome,489668034,15255043,3447464908,272,787,38.5,30.4,38317,21604,2023-02-06,GCF_028372415.1-RS_2025_03
GCF_011100635.1,Trichosurus vulpecula,common brushtail,9337,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,mTriVul1.pri,Chromosome,reference genome,442560073,4314688,3359330516,211,2006,39.5,60.73,31401,22532,2020-03-10,NCBI Trichosurus vulpecula Annotation Release 100
GCF_950295315.1,Erinaceus europaeus,western European hedgehog,9365,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,mEriEur2.1,Chromosome,reference genome,126757761,999919,2720683831,1174,4934,42,31,31885,20879,2023-05-01,GCF_950295315.1-RS_2023_10
GCF_027595985.1,Sorex araneus,European shrew,42254,Mammalia,Eulipotyphla,Soricidae,Sorex,mSorAra2.pri,Chromosome,reference genome,374364821,4024507,2405993548,65,1492,43,35.71,28480,20687,2023-01-09,GCF_027595985.1-RS_2023_04
GCF_024139225.1,Suncus etruscus,white-toothed pygmy shrew,109475,Mammalia,Eulipotyphla,Soricidae,Suncus,mSunEtr1.pri.cur,Chromosome,reference genome,131952995,5042816,2471666657,147,1154,40,142.65,39091,19819,2022-07-06,GCF_024139225.1-RS_2023_02
GCF_964237555.1,Oryctolagus cuniculus,rabbit,9986,Mammalia,Lagomorpha,Leporidae,Oryctolagus,mOryCun1.1,Chromosome,reference genome,144279705,2030165,2804657419,221,2497,44,31,38822,21895,2024-08-31,GCF_964237555.1-RS_2024_11
GCF_033115175.1,Lepus europaeus,European hare,9983,Mammalia,Lagomorpha,Leporidae,Lepus,mLepTim1.pri,Chromosome,reference genome,125776599,43409466,2930954587,650,1068,44,25,30833,21467,2023-10-31,GCF_033115175.1-RS_2024_01
GCF_009806435.1,Oryctolagus cuniculus,rabbit,9986,Mammalia,Lagomorpha,Leporidae,Oryctolagus,UM_NZW_1.0,Chromosome,,111644748,337730,2841489785,3159,21334,44,40,37497,22458,2021-02-04,GCF_009806435.1-RS_2023_02
GCF_014633375.1,Ochotona princeps,American pika,9978,Mammalia,Lagomorpha,Ochotonidae,Ochotona,OchPri4.0,Chromosome,,75838078,42119,2231476247,9350,134291,43.5,23.68,24017,18872,2020-09-21,NCBI Ochotona princeps Annotation Release 102
GCF_030435755.1,Ochotona princeps,American pika,9978,Mammalia,Lagomorpha,Ochotonidae,Ochotona,mOchPri1.hap1,Chromosome,reference genome,73962893,12191025,2555444530,5864,6296,44,30,28141,20332,2023-07-13,GCF_030435755.1-RS_2023_07
GCF_019393635.1,Dromiciops gliroides,monito del monte,33562,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,mDroGli1.pri,Chromosome,reference genome,670775900,38230856,3303199800,17,277,39,63,31081,21870,2021-08-03,NCBI Dromiciops gliroides Annotation Release 100
GCF_004115215.2,Ornithorhynchus anatinus,platypus,9258,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,mOrnAna1.pri.v4,Chromosome,reference genome,83338043,15146802,1859264908,321,833,46,58.8,30497,18152,2020-11-06,NCBI Ornithorhynchus anatinus Annotation Release 105
GCF_015852505.1,Tachyglossus aculeatus,Australian echidna,9261,Mammalia,Monotremata,Tachyglossidae,Tachyglossus,mTacAcu1.pri,Chromosome,reference genome,63379719,19859057,2213004214,310,831,45.5,58.29,31147,18929,2020-12-09,NCBI Tachyglossus aculeatus Annotation Release 100
