accession,organism_name,common_name,order,family,genus,scaffold_n50,contig_n50,max_lifespan,body_mass,LQ,protein_coding_count,submission_date
GCF_048593235.1,Sminthopsis crassicaudata,fat-tailed dunnart,Dasyuromorphia,Dasyuridae,Sminthopsis,656909261,4359487,5.0,15.0,-0.16099587702163398,19709,2025-03-17
GCF_016432865.1,Antechinus flavipes,yellow-footed antechinus,Dasyuromorphia,Dasyuridae,Antechinus,636717922,51843704,3.9,45.0,-0.34415607187690667,20412,2021-01-06
GCF_902635505.1,Sarcophilus harrisii,Tasmanian devil,Dasyuromorphia,Dasyuridae,Sarcophilus,611347268,62339597,13.0,6500.0,-0.16191997892376797,19966,2019-11-07
GCF_027409185.1,Cynocephalus volans,Philippine flying lemur,Dermoptera,Cynocephalidae,Cynocephalus,165781880,69195939,,,,21694,2022-12-28
GCF_016433145.1,Gracilinanus agilis,Agile Gracile Mouse Opossum,Didelphimorphia,Didelphidae,Gracilinanus,683521856,73170,6.1,22.0,-0.10087096534644224,21142,2021-01-06
GCF_027887165.1,Monodelphis domestica,gray short-tailed opossum,Didelphimorphia,Didelphidae,Monodelphis,538302405,3910714,5.1,105.0,-0.2856902950070399,21694,2023-01-18
GCF_000002295.2,Monodelphis domestica,gray short-tailed opossum,Didelphimorphia,Didelphidae,Monodelphis,59809810,108014,5.1,105.0,-0.2856902950070399,20903,2007-01-25
GCF_028372415.1,Notamacropus eugenii,tammar wallaby,Diprotodontia,Macropodidae,Notamacropus,489668034,15255043,,,,21604,2023-02-06
GCF_011100635.1,Trichosurus vulpecula,common brushtail,Diprotodontia,Phalangeridae,Trichosurus,442560073,4314688,15.9,2395.0,-0.006074640180931956,22532,2020-03-10
GCF_950295315.1,Erinaceus europaeus,western European hedgehog,Eulipotyphla,Erinaceidae,Erinaceus,126757761,999919,11.7,750.0,-0.059753081905136396,20879,2023-05-01
GCF_027595985.1,Sorex araneus,European shrew,Eulipotyphla,Soricidae,Sorex,374364821,4024507,3.2,9.0,-0.3198244148719831,20687,2023-01-09
GCF_024139225.1,Suncus etruscus,white-toothed pygmy shrew,Eulipotyphla,Soricidae,Suncus,131952995,5042816,3.2,2.1,-0.22013743049142498,19819,2022-07-06
GCF_964237555.1,Oryctolagus cuniculus,rabbit,Lagomorpha,Leporidae,Oryctolagus,144279705,2030165,9.0,1800.0,-0.23366592778743323,21895,2024-08-31
GCF_033115175.1,Lepus europaeus,European hare,Lagomorpha,Leporidae,Lepus,125776599,43409466,10.7,4175.0,-0.21615549608831897,21467,2023-10-31
GCF_009806435.1,Oryctolagus cuniculus,rabbit,Lagomorpha,Leporidae,Oryctolagus,111644748,337730,9.0,1800.0,-0.23366592778743323,22458,2021-02-04
GCF_014633375.1,Ochotona princeps,American pika,Lagomorpha,Ochotonidae,Ochotona,75838078,42119,7.0,100.0,-0.14482031125038342,18872,2020-09-21
GCF_030435755.1,Ochotona princeps,American pika,Lagomorpha,Ochotonidae,Ochotona,73962893,12191025,7.0,100.0,-0.14482031125038342,20332,2023-07-13
GCF_019393635.1,Dromiciops gliroides,monito del monte,Microbiotheria,Microbiotheriidae,Dromiciops,670775900,38230856,,,,21870,2021-08-03
GCF_004115215.2,Ornithorhynchus anatinus,platypus,Monotremata,Ornithorhynchidae,Ornithorhynchus,83338043,15146802,22.6,1250.0,0.1911780073303393,18152,2020-11-06
GCF_015852505.1,Tachyglossus aculeatus,Australian echidna,Monotremata,Tachyglossidae,Tachyglossus,63379719,19859057,49.5,3500.0,0.46114597221008835,18929,2020-12-09
GCF_037893015.1,Macrotis lagotis,bilby,Peramelemorphia,Peramelidae,Macrotis,343853051,1227456,9.6,1300.0,-0.18334581247951975,21156,2024-04-04
GCF_021613505.1,Equus quagga,,Perissodactyla,Equidae,Equus,122556673,427941,38.0,280000.0,0.04615612069936548,21070,2022-01-31
GCF_041296235.1,Equus asinus,donkey,Perissodactyla,Equidae,Equus,101318199,102829910,47.0,164998.0,0.17469696575193572,21414,2024-12-12
GCF_041296265.1,Equus caballus,horse,Perissodactyla,Equidae,Equus,99223387,99223387,57.0,300000.0,0.2175213771157125,21772,2024-08-16
GCF_016077325.2,Equus asinus,donkey,Perissodactyla,Equidae,Equus,98589534,25073460,47.0,164998.0,0.17469696575193572,21649,2021-10-14
GCF_002863925.1,Equus caballus,horse,Perissodactyla,Equidae,Equus,87230776,1502753,57.0,300000.0,0.2175213771157125,20955,2018-01-05
GCF_037783145.1,Equus przewalskii,Przewalski's horse,Perissodactyla,Equidae,Equus,85145959,25995503,,,,20517,2024-04-01
GCF_020826845.1,Diceros bicornis minor,,Perissodactyla,Rhinocerotidae,Diceros,65026825,28468213,,,,21434,2021-11-10
GCF_030020395.1,Manis pentadactyla,Chinese pangolin,Pholidota,Manidae,Manis,149551276,25547713,,,,21077,2023-05-23
GCF_040802235.1,Manis javanica,Malayan pangolin,Pholidota,Manidae,Manis,141798549,61244301,,,,20586,2024-07-22
GCF_015220235.1,Choloepus didactylus,southern two-toed sloth,Pilosa,Megalonychidae,Choloepus,146178362,20994632,36.8,6250.0,0.2926711011449392,23549,2020-11-03
GCF_023851605.1,Tamandua tetradactyla,southern tamandua,Pilosa,Myrmecophagidae,Tamandua,174634624,9869167,19.0,4500.0,0.028079368885165934,21002,2022-06-22
GCF_049354715.1,Callithrix jacchus,white-tufted-ear marmoset,Primates,Cebidae,Callithrix,141933726,137132494,22.8,255.2,0.30384051919538835,21743,2025-04-08
GCF_011100555.1,Callithrix jacchus,white-tufted-ear marmoset,Primates,Cebidae,Callithrix,136971485,13222669,22.8,255.2,0.30384051919538835,22355,2021-04-28
GCF_048565385.1,Saimiri boliviensis,Bolivian squirrel monkey,Primates,Cebidae,Saimiri,129414808,69222429,30.3,615.0,0.3670975481005547,20437,2025-03-12
GCF_009663435.1,Callithrix jacchus,white-tufted-ear marmoset,Primates,Cebidae,Callithrix,98198953,25227091,22.8,255.2,0.30384051919538835,22252,2020-05-22
GCF_049350105.2,Macaca mulatta,Rhesus monkey,Primates,Cercopithecidae,Macaca,162285572,162285572,40.0,8235.0,0.30999019486665147,21513,2025-07-24
GCF_037993035.2,Macaca fascicularis,crab-eating macaque,Primates,Cercopithecidae,Macaca,162126771,162126771,39.0,6362.5,0.3166658574481902,21271,2024-09-18
GCF_043159975.1,Macaca nemestrina,pig-tailed macaque,Primates,Cercopithecidae,Macaca,154799650,40835442,37.6,7912.5,0.28585458918860307,21128,2024-10-15
GCF_024542745.1,Macaca thibetana thibetana,,Primates,Cercopithecidae,Macaca,150623419,48622411,,,,21402,2022-08-09
GCF_012559485.2,Macaca fascicularis,crab-eating macaque,Primates,Cercopithecidae,Macaca,149803873,26251577,39.0,6362.5,0.3166658574481902,21335,2021-10-26
GCF_007565055.1,Rhinopithecus roxellana,golden snub-nosed monkey,Primates,Cercopithecidae,Rhinopithecus,144559847,5723610,29.5,14750.0,0.13782709027232443,21094,2019-07-29
GCF_008728515.1,Papio anubis,olive baboon,Primates,Cercopithecidae,Papio,140274886,1464978,,,,21087,2019-10-02
GCF_002776525.5,Piliocolobus tephrosceles,Ugandan red Colobus,Primates,Cercopithecidae,Piliocolobus,131283114,100421,,,,21528,2019-12-12
GCF_003255815.1,Theropithecus gelada,gelada,Primates,Cercopithecidae,Theropithecus,130230028,310061,36.0,16200.0,0.21788446844902287,20683,2018-06-19
GCF_047675955.1,Chlorocebus sabaeus,green monkey,Primates,Cercopithecidae,Chlorocebus,100816256,13913161,,,,20783,2025-02-12
GCF_000364345.1,Macaca fascicularis,crab-eating macaque,Primates,Cercopithecidae,Macaca,88649475,86040,39.0,6362.5,0.3166658574481902,20596,2013-06-12
GCF_003339765.1,Macaca mulatta,Rhesus monkey,Primates,Cercopithecidae,Macaca,82346004,46608966,40.0,8235.0,0.30999019486665147,21121,2019-02-13
GCF_000409795.2,Chlorocebus sabaeus,green monkey,Primates,Cercopithecidae,Chlorocebus,81825804,90449,,,,20991,2014-03-25
GCF_000165445.2,Microcebus murinus,gray mouse lemur,Primates,Cheirogaleidae,Microcebus,108171978,210702,18.2,64.8,0.2998727036719723,20522,2017-02-06
GCF_040939455.1,Microcebus murinus,gray mouse lemur,Primates,Cheirogaleidae,Microcebus,105226355,102817952,18.2,64.8,0.2998727036719723,19994,2025-06-05
GCF_029281585.2,Gorilla gorilla gorilla,western lowland gorilla,Primates,Hominidae,Gorilla,150804130,150804130,,,,22640,2024-01-08
GCF_009914755.1,Homo sapiens,human,Primates,Hominidae,Homo,150617247,150617247,122.5,62035.0,0.65774413892651,20070,2022-01-24
GCF_029289425.2,Pan paniscus,pygmy chimpanzee,Primates,Hominidae,Pan,147028407,147028407,55.0,39925.0,0.34015836113861875,22890,2024-01-08
GCF_028858775.2,Pan troglodytes,chimpanzee,Primates,Hominidae,Pan,146288486,146288486,59.4,44983.5,0.3654105575557711,22561,2024-01-08
GCF_028885655.2,Pongo abelii,Sumatran orangutan,Primates,Hominidae,Pongo,146197178,146197178,,,,22189,2024-01-05
GCF_028885625.2,Pongo pygmaeus,Bornean orangutan,Primates,Hominidae,Pongo,143261986,140592248,59.0,64475.0,0.33781741845653457,22085,2024-01-08
GCF_002880775.1,Pongo abelii,Sumatran orangutan,Primates,Hominidae,Pongo,98475126,11074009,,,,20574,2018-01-19
GCF_000151905.2,Gorilla gorilla gorilla,western lowland gorilla,Primates,Hominidae,Gorilla,81227029,52934,,,,21391,2014-12-19
GCF_000001405.40,Homo sapiens,human,Primates,Hominidae,Homo,67794873,57879411,122.5,62035.0,0.65774413892651,20076,2022-02-03
GCF_000002135.2,Homo sapiens,human,Primates,Hominidae,Homo,58008433,6194666,122.5,62035.0,0.65774413892651,913,2004-09-01
GCF_002880755.1,Pan troglodytes,chimpanzee,Primates,Hominidae,Pan,53103722,12268567,59.4,44983.5,0.3654105575557711,21522,2018-01-19
GCF_000306695.2,Homo sapiens,human,Primates,Hominidae,Homo,50362920,143936,122.5,62035.0,0.65774413892651,19751,2013-06-14
GCF_028878055.3,Symphalangus syndactylus,siamang,Primates,Hylobatidae,Symphalangus,146713733,146713733,43.0,10900.0,0.32219339027175686,22102,2024-01-05
GCF_000146795.2,Nomascus leucogenys,northern white-cheeked gibbon,Primates,Hylobatidae,Nomascus,52956880,35148,44.1,6000.0,0.374058173204705,20370,2012-12-08
GCF_020740605.2,Lemur catta,Ring-tailed lemur,Primates,Lemuridae,Lemur,102162704,32529614,37.3,2555.0,0.3598072497908724,19990,2021-11-04
GCF_041146395.1,Eulemur rufifrons,Bennett's brown lemur,Primates,Lemuridae,Eulemur,100874195,89959899,,,,19514,2024-08-16
GCF_027406575.1,Nycticebus coucang,slow loris,Primates,Lorisidae,Nycticebus,135917784,41197715,25.8,890.5,0.27191865696469364,22137,2022-12-28
GCF_024166365.1,Elephas maximus indicus,,Proboscidea,Elephantidae,Elephas,127432672,87987108,,,,21809,2022-07-06
GCF_030014295.1,Loxodonta africana,African savanna elephant,Proboscidea,Elephantidae,Loxodonta,119600562,82653632,65.0,4800000.0,0.08463791460362868,22303,2023-05-16
GCF_047511655.1,Castor canadensis,American beaver,Rodentia,Castoridae,Castor,158968201,59379167,23.4,20250.0,0.01551252112158541,20783,2025-02-10
GCF_003668045.3,Cricetulus griseus,Chinese hamster,Rodentia,Cricetidae,Cricetulus,274391693,2711962,,,,21776,2020-06-11
GCF_903992535.2,Arvicola amphibius,Eurasian water vole,Rodentia,Cricetidae,Arvicola,158924400,5392280,2.5,120.0,-0.6044673452974508,21424,2021-05-15
GCF_037038515.1,Microtus pennsylvanicus,meadow vole,Rodentia,Cricetidae,Microtus,125308425,47175454,,,,21461,2024-03-06
GCF_049852395.1,Peromyscus maniculatus bairdii,prairie deer mouse,Rodentia,Cricetidae,Peromyscus,122208007,32642229,,,,22575,2025-04-22
GCF_003704035.1,Peromyscus maniculatus bairdii,prairie deer mouse,Rodentia,Cricetidae,Peromyscus,115033041,30111,,,,22079,2020-09-17
GCF_004664715.2,Peromyscus leucopus,white-footed mouse,Rodentia,Cricetidae,Peromyscus,114273790,3487364,7.9,23.0,0.008381351032846096,22198,2020-10-02
GCF_903995425.1,Onychomys torridus,southern grasshopper mouse,Rodentia,Cricetidae,Onychomys,112723509,2276141,4.6,22.0,-0.22344296867563518,20942,2020-08-21
GCF_949786415.1,Peromyscus eremicus,cactus mouse,Rodentia,Cricetidae,Peromyscus,97176920,1332236,7.4,25.0,-0.025725649792440186,22148,2023-04-08
GCF_950005125.1,Chionomys nivalis,European snow vole,Rodentia,Cricetidae,Chionomys,88844950,30960136,,,,22222,2023-05-01
GCF_020740685.1,Jaculus jaculus,lesser Egyptian jerboa,Rodentia,Dipodidae,Jaculus,158244790,22104564,7.3,55.0,-0.08564373507765821,20913,2021-11-04
GCF_023159225.1,Perognathus longimembris pacificus,Pacific pocket mouse,Rodentia,Heteromyidae,Perognathus,72679016,7389774,,,,20883,2022-04-27
GCF_011064425.1,Rattus rattus,black rat,Rodentia,Muridae,Rattus,158824752,1635336,4.2,200.0,-0.4141495517373518,21597,2020-03-04
GCF_036323735.1,Rattus norvegicus,Norway rat,Rodentia,Muridae,Rattus,137014596,64250101,3.8,300.0,-0.48538955219358315,23154,2024-01-31
GCF_015227675.2,Rattus norvegicus,Norway rat,Rodentia,Muridae,Rattus,135012528,29198295,3.8,300.0,-0.48538955219358315,21990,2020-11-10
GCF_900094665.2,Mus caroli,Ryukyu mouse,Rodentia,Muridae,Mus,122627250,30921,,,,21002,2017-04-28
GCF_030254825.1,Meriones unguiculatus,Mongolian gerbil,Rodentia,Muridae,Meriones,122584302,50173090,6.3,53.2,-0.1473467270742993,21259,2023-06-12
GCF_947179515.1,Apodemus sylvaticus,European woodmouse,Rodentia,Muridae,Apodemus,120938251,4449850,6.3,23.4,-0.09108625228123857,22444,2022-10-28
GCF_008632895.1,Mastomys coucha,southern multimammate mouse,Rodentia,Muridae,Mastomys,118621203,30483,,,,20166,2019-09-24
GCF_900095145.1,Mus pahari,shrew mouse,Rodentia,Muridae,Mus,111406228,29465,,,,20482,2017-04-28
GCF_000001635.27,Mus musculus,house mouse,Rodentia,Muridae,Mus,106145001,59462871,4.0,20.5,-0.2793035149459061,22198,2020-06-24
GCF_011762505.2,Arvicanthis niloticus,Nile rat,Rodentia,Muridae,Arvicanthis,82689117,11143170,6.7,110.0,-0.17037228336789956,21696,2025-01-29
GCF_903995435.1,Acomys russatus,golden spiny mouse,Rodentia,Muridae,Acomys,66475698,4450755,,,,20811,2020-08-21
GCF_016881025.1,Ictidomys tridecemlineatus,thirteen-lined ground squirrel,Rodentia,Sciuridae,Ictidomys,193221680,44127,7.9,172.7,-0.12971861548635244,20734,2021-02-17
GCF_045843805.1,Urocitellus parryii,Arctic ground squirrel,Rodentia,Sciuridae,Urocitellus,184159334,23164455,,,,21555,2024-12-13
GCF_052094955.1,Ictidomys tridecemlineatus,thirteen-lined ground squirrel,Rodentia,Sciuridae,Ictidomys,157082519,10558370,7.9,172.7,-0.12971861548635244,23086,2025-08-18
GCF_902686455.1,Sciurus vulgaris,Eurasian red squirrel,Rodentia,Sciuridae,Sciurus,153872958,16333633,14.8,600.0,0.05760807571395232,22317,2019-11-20
GCF_902686445.1,Sciurus carolinensis,gray squirrel,Rodentia,Sciuridae,Sciurus,148229995,13975867,23.6,533.0,0.26836931157117827,21959,2020-07-31
GCF_047511675.1,Marmota flaviventris,yellow-bellied marmot,Rodentia,Sciuridae,Marmota,136846803,52587502,21.2,3500.0,0.09287663420527115,21191,2025-02-10
GCF_048772825.1,Callospermophilus lateralis,golden-mantled ground squirrel,Rodentia,Sciuridae,Callospermophilus,114988597,13623428,10.4,157.6,-0.004044916660339126,20343,2025-03-21
GCF_048772815.1,Callospermophilus lateralis,golden-mantled ground squirrel,Rodentia,Sciuridae,Callospermophilus,94176142,6579271,10.4,157.6,-0.004044916660339126,21594,2025-03-21
GCF_964187855.1,Myxine glutinosa,Atlantic hagfish,Myxiniformes,Myxinidae,Myxine,192170830,739991,,,,18316,2024-06-18
GCF_040869285.1,Myxine glutinosa,Atlantic hagfish,Myxiniformes,Myxinidae,Myxine,156894492,847554,,,,22424,2024-07-30
GCF_026419915.1,Harpia harpyja,harpy eagle,Accipitriformes,Accipitridae,Harpia,58111031,16799191,16.8,4800.0,-0.29706281885373187,16803,2022-11-27
GCF_018139145.2,Gymnogyps californianus,California condor,Accipitriformes,Cathartidae,Gymnogyps,85355094,17075888,45.0,11175.0,0.05346986945072252,15144,2022-09-01
GCF_009819795.1,Aythya fuligula,tufted duck,Anseriformes,Anatidae,Aythya,85905639,17816505,45.2,701.5,0.3088421357018267,15578,2019-12-31
GCF_013377495.2,Cygnus atratus,black swan,Anseriformes,Anatidae,Cygnus,84552148,28995010,,,,15671,2022-08-03
GCF_009769625.2,Cygnus olor,mute swan,Anseriformes,Anatidae,Cygnus,81481363,8308965,70.0,8300.0,0.27258629040587623,16150,2021-03-31
GCF_040182565.1,Anser cygnoides,Swan goose,Anseriformes,Anatidae,Anser,81007908,39655246,,,,18126,2024-06-14
GCF_047663525.1,Anas platyrhynchos,mallard,Anseriformes,Anatidae,Anas,80154792,80154792,29.1,1048.1,0.08083576152181937,17676,2025-02-12
GCF_963932015.1,Anas acuta,northern pintail,Anseriformes,Anatidae,Anas,76435830,3416933,27.4,721.0,0.08894396163405838,16993,2024-02-07
GCF_015476345.1,Anas platyrhynchos,mallard,Anseriformes,Anatidae,Anas,76269206,5679408,29.1,1048.1,0.08083576152181937,16836,2020-11-23
GCF_003850225.1,Anas platyrhynchos,mallard,Anseriformes,Anatidae,Anas,76129154,36811,29.1,1048.1,0.08083576152181937,15747,2018-11-29
GCF_020740795.1,Apus apus,common swift,Apodiformes,Apodidae,Apus,115508478,25561769,21.1,37.6,0.2458986421221132,14765,2021-11-04
GCF_003957555.1,Calypte anna,Anna's hummingbird,Apodiformes,Trochilidae,Calypte,74081004,14522327,8.5,4.4,0.04745914586751232,14711,2019-05-16
GCF_036169615.1,Heliangelus exortis,,Apodiformes,Trochilidae,Heliangelus,73898144,8413062,,,,15365,2024-01-26
GCF_907165065.1,Caprimulgus europaeus,Eurasian nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,82614289,30622946,11.9,67.0,-0.05572766220274006,15555,2021-05-17
GCF_028500815.1,Rissa tridactyla,black-legged kittiwake,Charadriiformes,Laridae,Rissa,88208671,15653959,28.5,317.0,0.18127318198912912,16534,2023-02-09
GCF_964199755.1,Larus michahellis,yellow-legged gull,Charadriiformes,Laridae,Larus,87713602,4216312,,,,16940,2024-07-14
GCF_963924245.1,Chroicocephalus ridibundus,black-headed gull,Charadriiformes,Laridae,Chroicocephalus,83755488,4003687,32.9,306.0,0.24685767044300944,16778,2024-01-20
GCF_964106895.1,Numenius arquata,Eurasian curlew,Charadriiformes,Scolopacidae,Numenius,63363742,2605715,31.8,728.0,0.15273591362197236,16115,2024-06-06
GCF_034638445.1,Ciconia boyciana,Oriental stork,Ciconiiformes,Ciconiidae,Ciconia,102765642,35788150,48.1,4850.5,0.15881476298884611,16546,2023-12-27
GCF_035582795.1,Mycteria americana,wood stork,Ciconiiformes,Ciconiidae,Mycteria,80020930,36845572,27.0,2500.0,-0.031284101601782854,16519,2024-01-12
GCF_028858725.1,Colius striatus,speckled mousebird,Coliiformes,Coliidae,Colius,89023854,21931325,11.5,51.0,-0.04559419428947975,15621,2023-02-24
GCF_036013445.1,Caloenas nicobarica,Nicobar pigeon,Columbiformes,Columbidae,Caloenas,79699707,25101800,20.5,519.0,-0.00695508035841641,17126,2024-01-26
GCF_037038585.1,Patagioenas fasciata,band-tailed pigeon,Columbiformes,Columbidae,Patagioenas,71669782,48246320,18.5,315.0,-0.005820479811867507,17516,2025-02-07
GCF_036013475.1,Columba livia,rock pigeon,Columbiformes,Columbidae,Columba,68980706,14042120,35.0,358.7,0.2591814631735927,17095,2024-04-08
GCF_017976375.1,Cuculus canorus,common cuckoo,Cuculiformes,Cuculidae,Cuculus,78325852,20797936,12.9,111.5,-0.0673172723067621,16774,2021-04-15
GCF_032191515.1,Phaenicophaeus curvirostris,,Cuculiformes,Cuculidae,Phaenicophaeus,70715910,17162444,,,,16797,2023-09-29
GCF_023634155.1,Falco peregrinus,peregrine falcon,Falconiformes,Falconidae,Falco,93682670,15744644,25.0,840.0,0.035147072418916014,16083,2022-06-02
GCF_023634085.1,Falco cherrug,Saker falcon,Falconiformes,Falconidae,Falco,92426045,21245687,15.9,966.0,-0.17419184563455015,16251,2022-06-02
GCF_017639655.2,Falco naumanni,lesser kestrel,Falconiformes,Falconidae,Falco,91761059,13754753,10.9,152.5,-0.1691503070159952,16079,2021-03-30
GCF_023638135.1,Falco biarmicus,lanner falcon,Falconiformes,Falconidae,Falco,91472507,24892811,,,,15891,2022-06-02
GCF_015220075.1,Falco rusticolus,gyrfalcon,Falconiformes,Falconidae,Falco,91094845,15323486,13.5,1406.5,-0.2796523768023209,15894,2020-11-03
GCF_016699485.2,Gallus gallus,chicken,Galliformes,Phasianidae,Gallus,90861225,18834961,30.0,779.8,0.12113682118255631,18023,2021-01-19
GCF_016700215.2,Gallus gallus,chicken,Galliformes,Phasianidae,Gallus,90563926,17744542,30.0,779.8,0.12113682118255631,17981,2021-10-01
GCF_039878825.1,Excalfactoria chinensis,blue-breasted quail,Galliformes,Phasianidae,Excalfactoria,86361526,7816141,,,,15853,2024-05-31
GCF_951394365.1,Tetrao urogallus,western capercaillie,Galliformes,Phasianidae,Tetrao,71401156,1909808,18.0,2950.0,-0.22252918792198284,14824,2023-06-15
GCF_023343835.1,Lagopus muta,rock ptarmigan,Galliformes,Phasianidae,Lagopus,71229700,17905263,,,,16078,2022-05-12
GCF_030936135.1,Gavia stellata,red-throated loon,Gaviiformes,Gaviidae,Gavia,50637386,13765203,24.0,1816.0,-0.05317036552889842,16399,2023-08-30
GCF_028858705.1,Grus americana,Whooping crane,Gruiformes,Gruidae,Grus,82903739,28324902,40.0,7500.0,0.038827662928847095,17399,2023-02-24
GCF_011004875.1,Balearica regulorum gibbericeps,East African grey crowned-crane,Gruiformes,Gruidae,Balearica,82577926,23326060,,,,16191,2020-03-05
GCF_013368605.1,Nyctibius grandis,,Nyctibiiformes,Nyctibiidae,Nyctibius,92359233,23231768,,,,15872,2020-06-23
GCF_030867145.1,Opisthocomus hoazin,,Opisthocomiformes,Opisthocomidae,Opisthocomus,80946297,14274197,,,,16456,2023-08-24
GCF_963662255.1,Cinclus cinclus,,Passeriformes,Cinclidae,Cinclus,74357285,3563180,10.6,61.7,-0.09842375475375853,16099,2023-12-11
GCF_021018805.1,Prinia subflava,tawny-flanked prinia,Passeriformes,Cisticolidae,Prinia,63498583,7918915,,,,16306,2024-01-26
GCF_020740725.1,Corvus hawaiiensis,hawaiian crow,Passeriformes,Corvidae,Corvus,76278832,23064755,25.0,520.0,0.07905482865968971,16414,2021-11-04
GCF_009650955.1,Corvus moneduloides,New Caledonian crow,Passeriformes,Corvidae,Corvus,74699841,11524098,,,,16167,2019-11-14
GCF_000738735.6,Corvus cornix cornix,,Passeriformes,Corvidae,Corvus,73732264,8553235,,,,14435,2022-04-01
GCF_041296385.1,Aphelocoma coerulescens,scrub jay,Passeriformes,Corvidae,Aphelocoma,68049500,17285536,15.0,78.7,0.030080660498944978,17513,2024-08-16
GCF_046129695.1,Lonchura striata,white-rumped munia,Passeriformes,Estrildidae,Lonchura,73424396,29140630,10.0,12.3,0.02392121409524295,15844,2024-12-18
GCF_048771995.1,Taeniopygia guttata,zebra finch,Passeriformes,Estrildidae,Taeniopygia,72089520,65033001,12.0,12.0,0.10536321509177748,16799,2025-03-21
GCF_005870125.1,Lonchura striata,white-rumped munia,Passeriformes,Estrildidae,Lonchura,71975342,100423,10.0,12.3,0.02392121409524295,15577,2019-06-05
GCF_003957565.2,Taeniopygia guttata,zebra finch,Passeriformes,Estrildidae,Taeniopygia,70982421,8964551,12.0,12.0,0.10536321509177748,16520,2021-05-04
GCF_008822105.2,Taeniopygia guttata,zebra finch,Passeriformes,Estrildidae,Taeniopygia,70879221,4378277,12.0,12.0,0.10536321509177748,16197,2020-02-12
GCF_027477595.1,Haemorhous mexicanus,house finch,Passeriformes,Fringillidae,Haemorhous,77212160,16787335,11.6,21.4,0.03767629650599402,16679,2022-12-29
GCF_022539315.1,Serinus canaria,Common canary,Passeriformes,Fringillidae,Serinus,72083177,12206373,24.0,24.3,0.34179412523978114,15457,2022-08-25
GCF_015227805.2,Hirundo rustica,Barn swallow,Passeriformes,Hirundinidae,Hirundo,76187387,2794774,16.0,18.3,0.19166586378259498,15517,2021-11-30
GCF_051311805.1,Agelaius phoeniceus,red-winged blackbird,Passeriformes,Icteridae,Agelaius,73898474,30085171,20.0,56.7,0.18503774111957227,17098,2025-07-14
GCF_037042795.1,Molothrus aeneus,bronzed cowbird,Passeriformes,Icteridae,Molothrus,70606200,25845000,,,,16194,2024-03-07
GCF_012460135.2,Molothrus ater,,Passeriformes,Icteridae,Molothrus,70107701,13273966,16.9,38.1,0.14829341647201155,16046,2022-10-11
GCF_015832195.1,Motacilla alba alba,,Passeriformes,Motacillidae,Motacilla,72386170,8515530,,,,15594,2020-12-08
GCF_029582105.1,Oenanthe melanoleuca,,Passeriformes,Muscicapidae,Oenanthe,69618406,7795761,,,,16429,2023-04-06
GCF_030490865.1,Poecile atricapillus,Black-capped chickadee,Passeriformes,Paridae,Poecile,107919339,8462732,12.4,10.4,0.13270538409704924,17743,2023-07-18
GCF_001522545.3,Parus major,Great Tit,Passeriformes,Paridae,Parus,71365269,148693,15.4,17.9,0.17709001964206528,15069,2019-01-15
GCF_027887145.1,Ammospiza caudacuta,,Passeriformes,Passerellidae,Ammospiza,78443464,8252193,,,,16439,2023-01-18
GCF_035770615.1,Melospiza melodia melodia,,Passeriformes,Passerellidae,Melospiza,77460261,19453098,,,,17176,2024-01-24
GCF_027579445.1,Ammospiza nelsoni,,Passeriformes,Passerellidae,Ammospiza,74723840,12036358,,,,15799,2023-01-09
GCF_028018845.1,Melospiza georgiana,,Passeriformes,Passerellidae,Melospiza,74254230,10446106,7.8,16.1,-0.10863286981430287,15448,2023-01-31
GCF_028769735.1,Zonotrichia leucophrys gambelii,,Passeriformes,Passerellidae,Zonotrichia,71969017,14729340,,,,16563,2023-12-27
GCF_047830755.1,Zonotrichia albicollis,white-throated sparrow,Passeriformes,Passerellidae,Zonotrichia,64429512,17147933,14.9,21.1,0.14769715137389205,17420,2025-02-18
GCF_036417665.1,Passer domesticus,house sparrow,Passeriformes,Passeridae,Passer,83066519,20590000,23.0,25.3,0.31961844810811546,18191,2024-02-07
GCF_009829145.1,Chiroxiphia lanceolata,lance-tailed manakin,Passeriformes,Pipridae,Chiroxiphia,75608808,18496167,,,,15873,2020-01-03
GCF_036250125.1,Pseudopipra pipra,,Passeriformes,Pipridae,Pseudopipra,75011098,10447158,,,,17114,2024-01-31
GCF_009819655.1,Sylvia atricapilla,blackcap,Passeriformes,Sylviidae,Sylvia,72978054,7345957,13.8,16.7,0.13580163324707173,15521,2019-12-31
GCF_047495875.1,Pithys albifrons albifrons,,Passeriformes,Thamnophilidae,Pithys,77071861,11992177,,,,15076,2025-02-07
GCF_901933205.1,Camarhynchus parvulus,,Passeriformes,Thraupidae,Camarhynchus,70356807,16035651,,,,15747,2019-09-06
GCF_009819885.2,Catharus ustulatus,Swainson's thrush,Passeriformes,Turdidae,Catharus,68462074,4908935,11.0,27.9,-0.009672913132644956,16929,2020-12-22
GCF_903797595.1,Erithacus rubecula,European robin,Passeriformes,Turdidae,Erithacus,60684490,5585877,19.3,17.3,0.27824813481829325,16077,2021-05-03
GCF_026979565.1,Vidua chalybeata,,Passeriformes,Viduidae,Vidua,72553174,15819291,,,,16658,2022-12-21
