accession,organism_name,common_name,order,family,genus,scaffold_n50,contig_n50,max_lifespan,body_mass,LQ,protein_coding_count,submission_date,species_lower,activity,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO
GCF_963924675.1,Phocoena phocoena,harbor porpoise,Artiodactyla,Phocoenidae,Phocoena,110192646,3726689,20.4,52500.0,-0.1093301425548514,18252,2024-01-29,phocoena phocoena,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_026419965.1,Kogia breviceps,pygmy sperm whale,Artiodactyla,Physeteridae,Kogia,122394096,42780423,17.0,424600.0,-0.3316990191867126,18349,2022-11-27,kogia breviceps,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_002837175.3,Physeter macrocephalus,sperm whale,Artiodactyla,Physeteridae,Physeter,122182240,42877,77.0,28500000.0,0.0361972773831069,20412,2023-02-28,physeter macrocephalus,,,,,,,,,,,
GCF_016906955.1,Phacochoerus africanus,Common warthog,Artiodactyla,Suidae,Phacochoerus,141887063,10602503,20.9,100000.0,-0.142952394899972,20276,2021-02-19,phacochoerus africanus,DIURNAL,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,80.0
GCF_000003025.6,Sus scrofa,pig,Artiodactyla,Suidae,Sus,88231837,48231277,27.0,130000.0,-0.0497068345243578,20666,2017-02-07,sus scrofa,NOCTURNAL,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,60.0
GCF_025265405.1,Mesoplodon densirostris,Blainville's beaked whale,Artiodactyla,Ziphiidae,Mesoplodon,125805690,48253041,,,,19759,2022-09-19,mesoplodon densirostris,,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_949752795.1,Hyperoodon ampullatus,northern bottlenose whale,Artiodactyla,Ziphiidae,Hyperoodon,117448692,3126546,37.0,6500000.0,-0.1808419369099954,19045,2023-03-31,hyperoodon ampullatus,,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_048418805.1,Vulpes vulpes,red fox,Carnivora,Canidae,Vulpes,139969695,55675583,21.3,4131.7,0.0835544691382137,19905,2025-03-05,vulpes vulpes,NOCTURNAL,20.0,70.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
GCF_018345385.1,Vulpes lagopus,Arctic fox,Carnivora,Canidae,Vulpes,131537142,33460300,16.3,5200.0,-0.0483904228563538,20695,2021-05-12,vulpes lagopus,,10.0,70.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0
GCF_053574225.1,Canis aureus,golden jackal,Carnivora,Canidae,Canis,68033816,56644425,18.8,11000.0,-0.0377427899693032,20620,2025-11-21,canis aureus,NOCTURNAL,10.0,50.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0
GCF_048164855.1,Canis lupus baileyi,Mexican gray wolf,Carnivora,Canidae,Canis,65569260,31962680,,,,20020,2025-02-27,canis lupus baileyi,,,,,,,,,,,
GCF_011100685.1,Canis lupus familiaris,dog,Carnivora,Canidae,Canis,64299765,14840767,,,,21175,2020-03-10,canis lupus familiaris,,,,,,,,,,,
GCF_003254725.2,Canis lupus dingo,dingo,Carnivora,Canidae,Canis,64250934,40716615,,,,20775,2020-09-11,canis lupus dingo,,,,,,,,,,,
GCF_005444595.1,Canis lupus familiaris,dog,Carnivora,Canidae,Canis,64204256,4722218,,,,20593,2019-05-30,canis lupus familiaris,,,,,,,,,,,
GCF_014441545.1,Canis lupus familiaris,dog,Carnivora,Canidae,Canis,64037277,12024593,,,,20949,2020-09-03,canis lupus familiaris,,,,,,,,,,,
GCF_000002285.5,Canis lupus familiaris,dog,Carnivora,Canidae,Canis,63738581,27487084,,,,20087,2020-10-06,canis lupus familiaris,,,,,,,,,,,
GCF_018350155.1,Leopardus geoffroyi,Geoffroy's cat,Carnivora,Felidae,Leopardus,152606360,104474415,23.0,4000.0,0.1191217264296,20127,2021-05-13,leopardus geoffroyi,NOCTURNAL,0.0,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_028018385.1,Neofelis nebulosa,Clouded leopard,Carnivora,Felidae,Neofelis,150204169,51579577,19.8,19500.0,-0.0544529385148266,20501,2023-01-31,neofelis nebulosa,CATHEMERAL,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_016509475.1,Prionailurus bengalensis,leopard cat,Carnivora,Felidae,Prionailurus,148587958,82622880,17.0,5000.0,-0.0274424921800116,20003,2021-01-06,prionailurus bengalensis,NOCTURNAL,0.0,70.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_018350175.1,Felis catus,domestic cat,Carnivora,Felidae,Felis,148491486,90731473,30.0,3900.0,0.2362494116548212,20453,2021-05-13,felis catus,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_046562885.1,Panthera onca,jaguar,Carnivora,Felidae,Panthera,148304554,45599555,28.0,81150.0,-0.001633020985911,19237,2025-01-08,panthera onca,CATHEMERAL,0.0,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_018350215.1,Panthera leo,lion,Carnivora,Felidae,Panthera,147402474,77781637,27.0,175000.0,-0.0700685248581383,19491,2021-05-13,panthera leo,NOCTURNAL,0.0,90.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
GCF_007474595.2,Lynx canadensis,Canada lynx,Carnivora,Felidae,Lynx,147275701,7503561,26.8,10100.0,0.1220812932427486,19742,2020-07-14,lynx canadensis,NOCTURNAL,0.0,80.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_018350195.1,Panthera tigris,tiger,Carnivora,Felidae,Panthera,146942463,74391967,26.3,119700.0,-0.0554604711347912,20232,2021-05-13,panthera tigris,NOCTURNAL,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_022837055.1,Prionailurus viverrinus,fishing cat,Carnivora,Felidae,Prionailurus,144906162,68766634,17.2,10650.0,-0.0741572229964464,20111,2022-04-08,prionailurus viverrinus,NOCTURNAL,20.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_027475565.1,Acinonyx jubatus,cheetah,Carnivora,Felidae,Acinonyx,144444042,96827784,20.5,53500.0,-0.1084989376227538,19999,2022-12-28,acinonyx jubatus,DIURNAL,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_028533385.1,Panthera onca,jaguar,Carnivora,Felidae,Panthera,138099990,53866,28.0,81150.0,-0.001633020985911,21071,2023-02-09,panthera onca,CATHEMERAL,0.0,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_023721935.1,Panthera uncia,snow leopard,Carnivora,Felidae,Panthera,112063229,179517,,,,20201,2022-06-16,panthera uncia,CATHEMERAL,,,,,,,,,,
GCF_006229205.1,Suricata suricatta,meerkat,Carnivora,Herpestidae,Suricata,141453419,75409,20.6,776.0,0.1835938482066346,19608,2019-07-03,suricata suricatta,DIURNAL,70.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0
GCF_020171115.1,Neogale vison,American mink,Carnivora,Mustelidae,Neogale,220349319,220349319,,,,20422,2021-09-29,neogale vison,,,,,,,,,,,
GCF_030435805.1,Mustela lutreola,European mink,Carnivora,Mustelidae,Mustela,154078643,83356672,8.4,590.0,-0.1872230682209233,20701,2023-07-13,mustela lutreola,NOCTURNAL,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_902655055.1,Lutra lutra,Eurasian river otter,Carnivora,Mustelidae,Lutra,149004807,30403456,18.2,6750.0,-0.0183771507577295,20887,2020-07-31,lutra lutra,NOCTURNAL,30.0,10.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_022355385.1,Mustela nigripes,black-footed ferret,Carnivora,Mustelidae,Mustela,145433501,148763,9.4,1021.0,-0.1759408754527002,20269,2022-02-24,mustela nigripes,NOCTURNAL,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_922984935.1,Meles meles,Eurasian badger,Carnivora,Mustelidae,Meles,132955750,75210923,18.6,13000.0,-0.0538308778833003,21063,2021-12-19,meles meles,NOCTURNAL,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0
GCF_009829155.1,Mustela erminea,ermine,Carnivora,Mustelidae,Mustela,130149454,36329944,12.5,110.3,0.1002763634048926,20934,2020-01-03,mustela erminea,NOCTURNAL,10.0,70.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
GCF_009762305.2,Zalophus californianus,California sea lion,Carnivora,Otariidae,Zalophus,147124152,32626160,35.7,180000.0,0.0493062257211778,21397,2020-07-14,zalophus californianus,,40.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_964656455.1,Halichoerus grypus,gray seal,Carnivora,Phocidae,Halichoerus,156124300,3750431,42.9,268000.0,0.1018302901688839,19199,2025-01-02,halichoerus grypus,,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_002201575.2,Neomonachus schauinslandi,Hawaiian monk seal,Carnivora,Phocidae,Neomonachus,150810825,181061,,,,19838,2021-10-20,neomonachus schauinslandi,,,,,,,,,,,
GCF_021288785.2,Mirounga angustirostris,Northern elephant seal,Carnivora,Phocidae,Mirounga,139676048,76189,,,,20358,2022-12-21,mirounga angustirostris,,60.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_002007445.2,Ailuropoda melanoleuca,giant panda,Carnivora,Ursidae,Ailuropoda,129245720,127687,36.8,117500.0,0.0917022907237612,20837,2020-04-20,ailuropoda melanoleuca,CATHEMERAL,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
GCF_023065955.2,Ursus arctos,brown bear,Carnivora,Ursidae,Ursus,71981430,35674000,40.0,277500.0,0.0690468681269118,20319,2023-05-22,ursus arctos,DIURNAL,10.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,60.0
GCF_036850765.1,Saccopteryx bilineata,greater sac-winged bat,Chiroptera,Emballonuridae,Saccopteryx,300074216,20156883,6.0,7.9,-0.0378933753987728,19291,2024-02-26,saccopteryx bilineata,NOCTURNAL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_036850995.1,Saccopteryx leptura,lesser sac-winged bat,Chiroptera,Emballonuridae,Saccopteryx,224759591,17812205,,,,19426,2024-02-26,saccopteryx leptura,NOCTURNAL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_004126475.2,Phyllostomus discolor,pale spear-nosed bat,Chiroptera,Phyllostomidae,Phyllostomus,171742863,6892556,9.0,43.4,0.0215017346165918,19754,2020-05-12,phyllostomus discolor,NOCTURNAL,30.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0
GCF_022682495.2,Desmodus rotundus,common vampire bat,Chiroptera,Phyllostomidae,Desmodus,160127860,6739964,29.2,33.2,0.5509938466690814,19269,2022-03-24,desmodus rotundus,NOCTURNAL,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_036562045.2,Rhinolophus sinicus,Chinese rufous horseshoe bat,Chiroptera,Rhinolophidae,Rhinolophus,166556632,42906106,,,,18293,2024-06-26,rhinolophus sinicus,NOCTURNAL,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
GCF_004115265.2,Rhinolophus ferrumequinum,greater horseshoe bat,Chiroptera,Rhinolophidae,Rhinolophus,88025743,31900497,30.5,22.875,0.5954273963003337,19652,2019-05-16,rhinolophus ferrumequinum,NOCTURNAL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_027574615.1,Eptesicus fuscus,big brown bat,Chiroptera,Vespertilionidae,Eptesicus,102817582,49033427,19.0,23.0,0.3895078606952334,20078,2023-01-09,eptesicus fuscus,NOCTURNAL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_963259705.1,Myotis daubentonii,Daubenton's bat,Chiroptera,Vespertilionidae,Myotis,102234773,3062752,28.0,8.5,0.626098981994496,21049,2023-08-20,myotis daubentonii,NOCTURNAL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_951640355.1,Cnephaeus nilssonii,northern bat,Chiroptera,Vespertilionidae,Cnephaeus,98018206,2474537,,,,19697,2023-05-18,cnephaeus nilssonii,,,,,,,,,,,
GCF_030445035.2,Dasypus novemcinctus,nine-banded armadillo,Cingulata,Dasypodidae,Dasypus,127081865,13963394,22.3,5500.0,0.0838847146857895,21697,2023-07-13,dasypus novemcinctus,NOCTURNAL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_048593235.1,Sminthopsis crassicaudata,fat-tailed dunnart,Dasyuromorphia,Dasyuridae,Sminthopsis,656909261,4359487,5.0,15.0,-0.1609958770216339,19709,2025-03-17,sminthopsis crassicaudata,NOCTURNAL,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_016432865.1,Antechinus flavipes,yellow-footed antechinus,Dasyuromorphia,Dasyuridae,Antechinus,636717922,51843704,3.9,45.0,-0.3441560718769066,20412,2021-01-06,antechinus flavipes,NOCTURNAL,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_902635505.1,Sarcophilus harrisii,Tasmanian devil,Dasyuromorphia,Dasyuridae,Sarcophilus,611347268,62339597,13.0,6500.0,-0.1619199789237679,19966,2019-11-07,sarcophilus harrisii,NOCTURNAL,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
GCF_027409185.1,Cynocephalus volans,Philippine flying lemur,Dermoptera,Cynocephalidae,Cynocephalus,165781880,69195939,,,,21694,2022-12-28,cynocephalus volans,NOCTURNAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_016433145.1,Gracilinanus agilis,Agile Gracile Mouse Opossum,Didelphimorphia,Didelphidae,Gracilinanus,683521856,73170,6.1,22.0,-0.1008709653464422,21142,2021-01-06,gracilinanus agilis,NOCTURNAL,50.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0
GCF_027887165.1,Monodelphis domestica,gray short-tailed opossum,Didelphimorphia,Didelphidae,Monodelphis,538302405,3910714,5.1,105.0,-0.2856902950070399,21694,2023-01-18,monodelphis domestica,NOCTURNAL,20.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0
GCF_000002295.2,Monodelphis domestica,gray short-tailed opossum,Didelphimorphia,Didelphidae,Monodelphis,59809810,108014,5.1,105.0,-0.2856902950070399,20903,2007-01-25,monodelphis domestica,NOCTURNAL,20.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0
GCF_028372415.1,Notamacropus eugenii,tammar wallaby,Diprotodontia,Macropodidae,Notamacropus,489668034,15255043,,,,21604,2023-02-06,notamacropus eugenii,,,,,,,,,,,
GCF_011100635.1,Trichosurus vulpecula,common brushtail,Diprotodontia,Phalangeridae,Trichosurus,442560073,4314688,15.9,2395.0,-0.0060746401809319,22532,2020-03-10,trichosurus vulpecula,NOCTURNAL,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,60.0
GCF_950295315.1,Erinaceus europaeus,western European hedgehog,Eulipotyphla,Erinaceidae,Erinaceus,126757761,999919,11.7,750.0,-0.0597530819051363,20879,2023-05-01,erinaceus europaeus,NOCTURNAL,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_027595985.1,Sorex araneus,European shrew,Eulipotyphla,Soricidae,Sorex,374364821,4024507,3.2,9.0,-0.3198244148719831,20687,2023-01-09,sorex araneus,CATHEMERAL,70.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
GCF_024139225.1,Suncus etruscus,white-toothed pygmy shrew,Eulipotyphla,Soricidae,Suncus,131952995,5042816,3.2,2.1,-0.2201374304914249,19819,2022-07-06,suncus etruscus,NOCTURNAL,80.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
GCF_964237555.1,Oryctolagus cuniculus,rabbit,Lagomorpha,Leporidae,Oryctolagus,144279705,2030165,9.0,1800.0,-0.2336659277874332,21895,2024-08-31,oryctolagus cuniculus,CATHEMERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_033115175.1,Lepus europaeus,European hare,Lagomorpha,Leporidae,Lepus,125776599,43409466,10.7,4175.0,-0.2161554960883189,21467,2023-10-31,lepus europaeus,NOCTURNAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_009806435.1,Oryctolagus cuniculus,rabbit,Lagomorpha,Leporidae,Oryctolagus,111644748,337730,9.0,1800.0,-0.2336659277874332,22458,2021-02-04,oryctolagus cuniculus,CATHEMERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_014633375.1,Ochotona princeps,American pika,Lagomorpha,Ochotonidae,Ochotona,75838078,42119,7.0,100.0,-0.1448203112503834,18872,2020-09-21,ochotona princeps,DIURNAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_030435755.1,Ochotona princeps,American pika,Lagomorpha,Ochotonidae,Ochotona,73962893,12191025,7.0,100.0,-0.1448203112503834,20332,2023-07-13,ochotona princeps,DIURNAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_019393635.1,Dromiciops gliroides,monito del monte,Microbiotheria,Microbiotheriidae,Dromiciops,670775900,38230856,,,,21870,2021-08-03,dromiciops gliroides,NOCTURNAL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_004115215.2,Ornithorhynchus anatinus,platypus,Monotremata,Ornithorhynchidae,Ornithorhynchus,83338043,15146802,22.6,1250.0,0.1911780073303393,18152,2020-11-06,ornithorhynchus anatinus,CREPUSCULAR,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_015852505.1,Tachyglossus aculeatus,Australian echidna,Monotremata,Tachyglossidae,Tachyglossus,63379719,19859057,49.5,3500.0,0.4611459722100883,18929,2020-12-09,tachyglossus aculeatus,NOCTURNAL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_037893015.1,Macrotis lagotis,bilby,Peramelemorphia,Peramelidae,Macrotis,343853051,1227456,9.6,1300.0,-0.1833458124795197,21156,2024-04-04,macrotis lagotis,NOCTURNAL,70.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0
GCF_021613505.1,Equus quagga,,Perissodactyla,Equidae,Equus,122556673,427941,38.0,280000.0,0.0461561206993654,21070,2022-01-31,equus quagga,CATHEMERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_041296235.1,Equus asinus,donkey,Perissodactyla,Equidae,Equus,101318199,102829910,47.0,164998.0,0.1746969657519357,21414,2024-12-12,equus asinus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_041296265.1,Equus caballus,horse,Perissodactyla,Equidae,Equus,99223387,99223387,57.0,300000.0,0.2175213771157125,21772,2024-08-16,equus caballus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_016077325.2,Equus asinus,donkey,Perissodactyla,Equidae,Equus,98589534,25073460,47.0,164998.0,0.1746969657519357,21649,2021-10-14,equus asinus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_002863925.1,Equus caballus,horse,Perissodactyla,Equidae,Equus,87230776,1502753,57.0,300000.0,0.2175213771157125,20955,2018-01-05,equus caballus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_037783145.1,Equus przewalskii,Przewalski's horse,Perissodactyla,Equidae,Equus,85145959,25995503,,,,20517,2024-04-01,equus przewalskii,,,,,,,,,,,
GCF_020826845.1,Diceros bicornis minor,,Perissodactyla,Rhinocerotidae,Diceros,65026825,28468213,,,,21434,2021-11-10,diceros bicornis minor,,,,,,,,,,,
GCF_030020395.1,Manis pentadactyla,Chinese pangolin,Pholidota,Manidae,Manis,149551276,25547713,,,,21077,2023-05-23,manis pentadactyla,NOCTURNAL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_040802235.1,Manis javanica,Malayan pangolin,Pholidota,Manidae,Manis,141798549,61244301,,,,20586,2024-07-22,manis javanica,NOCTURNAL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_015220235.1,Choloepus didactylus,southern two-toed sloth,Pilosa,Megalonychidae,Choloepus,146178362,20994632,36.8,6250.0,0.2926711011449392,23549,2020-11-03,choloepus didactylus,NOCTURNAL,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0
GCF_023851605.1,Tamandua tetradactyla,southern tamandua,Pilosa,Myrmecophagidae,Tamandua,174634624,9869167,19.0,4500.0,0.0280793688851659,21002,2022-06-22,tamandua tetradactyla,NOCTURNAL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_049354715.1,Callithrix jacchus,white-tufted-ear marmoset,Primates,Cebidae,Callithrix,141933726,137132494,22.8,255.2,0.3038405191953883,21743,2025-04-08,callithrix jacchus,DIURNAL,20.0,0.0,0.0,0.0,10.0,0.0,30.0,40.0,0.0,0.0
GCF_011100555.1,Callithrix jacchus,white-tufted-ear marmoset,Primates,Cebidae,Callithrix,136971485,13222669,22.8,255.2,0.3038405191953883,22355,2021-04-28,callithrix jacchus,DIURNAL,20.0,0.0,0.0,0.0,10.0,0.0,30.0,40.0,0.0,0.0
GCF_048565385.1,Saimiri boliviensis,Bolivian squirrel monkey,Primates,Cebidae,Saimiri,129414808,69222429,30.3,615.0,0.3670975481005547,20437,2025-03-12,saimiri boliviensis,DIURNAL,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0
GCF_009663435.1,Callithrix jacchus,white-tufted-ear marmoset,Primates,Cebidae,Callithrix,98198953,25227091,22.8,255.2,0.3038405191953883,22252,2020-05-22,callithrix jacchus,DIURNAL,20.0,0.0,0.0,0.0,10.0,0.0,30.0,40.0,0.0,0.0
GCF_049350105.2,Macaca mulatta,Rhesus monkey,Primates,Cercopithecidae,Macaca,162285572,162285572,40.0,8235.0,0.3099901948666514,21513,2025-07-24,macaca mulatta,DIURNAL,10.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,40.0
GCF_037993035.2,Macaca fascicularis,crab-eating macaque,Primates,Cercopithecidae,Macaca,162126771,162126771,39.0,6362.5,0.3166658574481902,21271,2024-09-18,macaca fascicularis,DIURNAL,50.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0
GCF_043159975.1,Macaca nemestrina,pig-tailed macaque,Primates,Cercopithecidae,Macaca,154799650,40835442,37.6,7912.5,0.285854589188603,21128,2024-10-15,macaca nemestrina,DIURNAL,10.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,10.0,10.0
GCF_024542745.1,Macaca thibetana thibetana,,Primates,Cercopithecidae,Macaca,150623419,48622411,,,,21402,2022-08-09,macaca thibetana thibetana,,,,,,,,,,,
GCF_012559485.2,Macaca fascicularis,crab-eating macaque,Primates,Cercopithecidae,Macaca,149803873,26251577,39.0,6362.5,0.3166658574481902,21335,2021-10-26,macaca fascicularis,DIURNAL,50.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0
GCF_007565055.1,Rhinopithecus roxellana,golden snub-nosed monkey,Primates,Cercopithecidae,Rhinopithecus,144559847,5723610,29.5,14750.0,0.1378270902723244,21094,2019-07-29,rhinopithecus roxellana,DIURNAL,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,80.0
GCF_008728515.1,Papio anubis,olive baboon,Primates,Cercopithecidae,Papio,140274886,1464978,,,,21087,2019-10-02,papio anubis,DIURNAL,10.0,40.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,30.0
GCF_002776525.5,Piliocolobus tephrosceles,Ugandan red Colobus,Primates,Cercopithecidae,Piliocolobus,131283114,100421,,,,21528,2019-12-12,piliocolobus tephrosceles,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,80.0
GCF_003255815.1,Theropithecus gelada,gelada,Primates,Cercopithecidae,Theropithecus,130230028,310061,36.0,16200.0,0.2178844684490228,20683,2018-06-19,theropithecus gelada,DIURNAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GCF_047675955.1,Chlorocebus sabaeus,green monkey,Primates,Cercopithecidae,Chlorocebus,100816256,13913161,,,,20783,2025-02-12,chlorocebus sabaeus,DIURNAL,20.0,0.0,0.0,0.0,20.0,0.0,40.0,0.0,0.0,20.0
GCF_000364345.1,Macaca fascicularis,crab-eating macaque,Primates,Cercopithecidae,Macaca,88649475,86040,39.0,6362.5,0.3166658574481902,20596,2013-06-12,macaca fascicularis,DIURNAL,50.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0
GCF_003339765.1,Macaca mulatta,Rhesus monkey,Primates,Cercopithecidae,Macaca,82346004,46608966,40.0,8235.0,0.3099901948666514,21121,2019-02-13,macaca mulatta,DIURNAL,10.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,40.0
GCF_000409795.2,Chlorocebus sabaeus,green monkey,Primates,Cercopithecidae,Chlorocebus,81825804,90449,,,,20991,2014-03-25,chlorocebus sabaeus,DIURNAL,20.0,0.0,0.0,0.0,20.0,0.0,40.0,0.0,0.0,20.0
GCF_000165445.2,Microcebus murinus,gray mouse lemur,Primates,Cheirogaleidae,Microcebus,108171978,210702,18.2,64.8,0.2998727036719723,20522,2017-02-06,microcebus murinus,NOCTURNAL,20.0,0.0,20.0,0.0,0.0,0.0,30.0,10.0,0.0,20.0
GCF_040939455.1,Microcebus murinus,gray mouse lemur,Primates,Cheirogaleidae,Microcebus,105226355,102817952,18.2,64.8,0.2998727036719723,19994,2025-06-05,microcebus murinus,NOCTURNAL,20.0,0.0,20.0,0.0,0.0,0.0,30.0,10.0,0.0,20.0
GCF_029281585.2,Gorilla gorilla gorilla,western lowland gorilla,Primates,Hominidae,Gorilla,150804130,150804130,,,,22640,2024-01-08,gorilla gorilla gorilla,,,,,,,,,,,
GCF_009914755.1,Homo sapiens,human,Primates,Hominidae,Homo,150617247,150617247,122.5,62035.0,0.65774413892651,20070,2022-01-24,homo sapiens,,10.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,30.0
GCF_029289425.2,Pan paniscus,pygmy chimpanzee,Primates,Hominidae,Pan,147028407,147028407,55.0,39925.0,0.3401583611386187,22890,2024-01-08,pan paniscus,DIURNAL,10.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,10.0,20.0
GCF_028858775.2,Pan troglodytes,chimpanzee,Primates,Hominidae,Pan,146288486,146288486,59.4,44983.5,0.3654105575557711,22561,2024-01-08,pan troglodytes,DIURNAL,10.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,30.0
