accession,organism_name,common_name,species_taxid,infraclass,order,family,genus,scaffold_n50,contig_n50,total_sequence_length,max_lifespan,body_mass,LQ,refseq_category,submission_date
GCA_039707465.1,Rhabdophis nuchalis,Hubei keelback,126483,Lepidosauria,Squamata,Colubridae,Rhabdophis,204956984,104787037,1924646879,,,,reference genome,2024-05-20
GCA_050613815.1,Pseudoxenodon stejnegeri,Stejneger's bamboo snake,1938231,Lepidosauria,Squamata,Colubridae,Pseudoxenodon,203681815,94324657,1600572231,,,,reference genome,2025-05-29
GCA_964659585.1,Natrix maura,viperine water snake,8585,Lepidosauria,Squamata,Colubridae,Natrix,174378910,36526383,1738069032,,,,reference genome,2025-01-02
GCA_964273705.1,Natrix helvetica,,2025560,Lepidosauria,Squamata,Colubridae,Natrix,172830377,1870695,1777495310,,,,reference genome,2024-10-05
GCA_038048745.1,Coluber constrictor foxii,,3052055,Lepidosauria,Squamata,Colubridae,Coluber,170815331,72486006,1829127931,,,,reference genome,2024-04-17
GCA_964340495.1,Hemorrhois hippocrepis,horseshoe snake,166086,Lepidosauria,Squamata,Colubridae,Hemorrhois,153613759,54718507,1806509314,,,,reference genome,2024-11-17
GCA_009769535.1,Thamnophis elegans,Western terrestrial garter snake,35005,Lepidosauria,Squamata,Colubridae,Thamnophis,100851885,4620601,1672190305,,,,reference genome,2019-12-23
GCF_009769535.1,Thamnophis elegans,Western terrestrial garter snake,35005,Lepidosauria,Squamata,Colubridae,Thamnophis,100851885,4620601,1672190305,,,,reference genome,2019-12-23
GCA_027244095.1,Hemicordylus capensis,graceful crag lizard,884348,Lepidosauria,Squamata,Cordylidae,Hemicordylus,359646233,160691000,2294751221,,,,reference genome,2022-12-28
GCF_027244095.1,Hemicordylus capensis,graceful crag lizard,884348,Lepidosauria,Squamata,Cordylidae,Hemicordylus,359646233,160691000,2294751221,,,,reference genome,2022-12-28
GCA_035594765.1,Anolis carolinensis,green anole,28377,Lepidosauria,Squamata,Dactyloidae,Anolis,288964324,26091274,1850740401,,,,reference genome,2024-01-12
GCF_035594765.1,Anolis carolinensis,green anole,28377,Lepidosauria,Squamata,Dactyloidae,Anolis,288964324,26091274,1850740401,,,,reference genome,2024-01-12
GCA_037176775.1,Anolis sagrei,brown anole,38937,Lepidosauria,Squamata,Dactyloidae,Anolis,274775750,40158202,1727284250,,,,,2024-03-15
GCA_037176765.1,Anolis sagrei,brown anole,38937,Lepidosauria,Squamata,Dactyloidae,Anolis,249210491,43146625,1950830970,,,,reference genome,2024-03-15
GCF_037176765.1,Anolis sagrei,brown anole,38937,Lepidosauria,Squamata,Dactyloidae,Anolis,249210491,43146625,1950830970,,,,reference genome,2024-03-15
GCA_046126795.1,Dibamus cf. smithi,,3379902,Lepidosauria,Squamata,Dibamidae,Dibamus,146217707,18158878,2282703727,,,,,2024-12-18
GCA_046126825.1,Dibamus cf. smithi,,3379902,Lepidosauria,Squamata,Dibamidae,Dibamus,131869530,26439680,1821555219,,,,,2024-12-18
GCA_045269775.1,Correlophus ciliatus,crested gecko,143539,Lepidosauria,Squamata,Diplodactylidae,Correlophus,109969818,74966670,1661507015,,,,,2024-11-25
GCA_031021105.1,Erythrolamprus reginae,royal ground snake,121349,Lepidosauria,Squamata,Dipsadidae,Erythrolamprus,259117534,3064756,1964049041,,,,reference genome,2023-08-31
GCF_031021105.1,Erythrolamprus reginae,royal ground snake,121349,Lepidosauria,Squamata,Dipsadidae,Erythrolamprus,259117534,3064756,1964049041,,,,reference genome,2023-08-31
GCA_033807585.1,Hydrophis major,olive-headed seasnake,355693,Lepidosauria,Squamata,Elapidae,Hydrophis,268276564,35743180,2166703382,,,,reference genome,2023-11-21
GCA_019472885.1,Hydrophis curtus,Shaw's sea snake,355685,Lepidosauria,Squamata,Elapidae,Hydrophis,266229956,9704100,1964827820,,,,,2021-08-09
GCA_019473425.1,Hydrophis cyanocinctus,Asian annulated sea snake,8686,Lepidosauria,Squamata,Elapidae,Hydrophis,264245889,18985681,1980712740,,,,reference genome,2021-08-09
GCA_009733165.1,Naja naja,Indian cobra,35670,Lepidosauria,Squamata,Elapidae,Naja,224088900,302474,1768535092,,,,reference genome,2019-12-11
GCA_049901735.1,Notechis scutatus,mainland tiger snake,8663,Lepidosauria,Squamata,Elapidae,Notechis,211178498,9430810,1533955903,,,,,2025-04-24
GCA_049901715.1,Pseudonaja textilis,,8673,Lepidosauria,Squamata,Elapidae,Pseudonaja,200959534,7104416,1476081604,,,,,2025-04-24
GCA_023653725.1,Bungarus multicinctus,many-banded krait,8616,Lepidosauria,Squamata,Elapidae,Bungarus,135406522,5437538,1593755901,,,,reference genome,2022-06-07
GCA_028583425.1,Eublepharis macularius,,481883,Lepidosauria,Squamata,Eublepharidae,Eublepharis,145573841,80105973,2237379946,,,,reference genome,2023-02-10
GCF_028583425.1,Eublepharis macularius,,481883,Lepidosauria,Squamata,Eublepharidae,Eublepharis,145573841,80105973,2237379946,,,,reference genome,2023-02-10
GCA_032191835.1,Heteronotia binoei,common prickly gecko,13085,Lepidosauria,Squamata,Gekkonidae,Heteronotia,150619664,14376057,2633446684,,,,reference genome,2023-09-29
GCF_032191835.1,Heteronotia binoei,common prickly gecko,13085,Lepidosauria,Squamata,Gekkonidae,Heteronotia,150619664,14376057,2633446684,,,,reference genome,2023-09-29
GCA_054791105.1,Cyrtopodion scabrum,,303590,Lepidosauria,Squamata,Gekkonidae,Cyrtopodion,139132836,36232941,1770821598,,,,,2026-01-27
GCA_051903775.1,Gekko kuhli,,1118402,Lepidosauria,Squamata,Gekkonidae,Gekko,137554149,11372554,2404755748,,,,reference genome,2025-08-08
GCA_054791115.1,Cyrtopodion scabrum,,303590,Lepidosauria,Squamata,Gekkonidae,Cyrtopodion,136481813,47115652,2025647772,,,,reference genome,2026-01-27
GCA_049243985.1,Paroedura picta,,143630,Lepidosauria,Squamata,Gekkonidae,Paroedura,129360563,52451795,1751518920,,,,reference genome,2025-04-02
GCF_049243985.1,Paroedura picta,,143630,Lepidosauria,Squamata,Gekkonidae,Paroedura,129360563,52451795,1751518920,,,,reference genome,2025-04-02
GCA_054791095.1,Cyrtopodion scabrum,,303590,Lepidosauria,Squamata,Gekkonidae,Cyrtopodion,116692751,47115652,1770536361,,,,,2026-01-27
GCA_965636955.1,Mediodactylus kotschyi,Kotschy's gecko,1303476,Lepidosauria,Squamata,Gekkonidae,Mediodactylus,101151094,47144669,1798513081,,,,reference genome,2025-07-09
GCA_051529865.1,Iguana iguana,Common green iguana,8517,Lepidosauria,Squamata,Iguanidae,Iguana,294494476,12742132,2012731717,,,,reference genome,2025-07-24
GCA_030412105.1,Cyclura pinguis,,118683,Lepidosauria,Squamata,Iguanidae,Cyclura,291724653,112814430,1983614781,,,,reference genome,2023-07-07
GCA_965113305.1,Podarcis vaucheri,,140051,Lepidosauria,Squamata,Lacertidae,Podarcis,100944791,2992141,1510738089,,,,reference genome,2025-01-24
GCA_965113315.1,Podarcis vaucheri,,140051,Lepidosauria,Squamata,Lacertidae,Podarcis,99219926,2971493,1614911144,,,,,2025-01-24
GCA_963506605.1,Zootoca vivipara,common lizard,8524,Lepidosauria,Squamata,Lacertidae,Zootoca,96056580,3447840,1440239386,,,,reference genome,2023-09-20
GCF_963506605.1,Zootoca vivipara,common lizard,8524,Lepidosauria,Squamata,Lacertidae,Zootoca,96056580,3447840,1440239386,,,,reference genome,2023-09-20
GCA_965112155.1,Podarcis liolepis,Columbretes wall lizard,662736,Lepidosauria,Squamata,Lacertidae,Podarcis,95422932,2883979,1574003547,,,,reference genome,2025-01-23
GCA_965207765.1,Zootoca vivipara,common lizard,8524,Lepidosauria,Squamata,Lacertidae,Zootoca,95238227,35897402,1424513601,,,,,2025-03-15
GCA_965208345.1,Zootoca vivipara,common lizard,8524,Lepidosauria,Squamata,Lacertidae,Zootoca,95155244,25043895,1423701498,,,,,2025-03-15
GCA_964188305.1,Podarcis bocagei,,90520,Lepidosauria,Squamata,Lacertidae,Podarcis,94948854,2681335,1615189422,,,,reference genome,2024-06-21
GCA_964188325.1,Podarcis bocagei,,90520,Lepidosauria,Squamata,Lacertidae,Podarcis,94909467,2843701,1473581329,,,,,2024-06-21
GCA_951804945.1,Podarcis cretensis,,1330250,Lepidosauria,Squamata,Lacertidae,Podarcis,94621998,65743000,1507609967,,,,reference genome,2023-06-02
GCF_951804945.1,Podarcis cretensis,,1330250,Lepidosauria,Squamata,Lacertidae,Podarcis,94621998,65743000,1507609967,,,,reference genome,2023-06-02
GCA_964188175.1,Podarcis siculus,Italian wall lizard,65484,Lepidosauria,Squamata,Lacertidae,Podarcis,94541350,3060007,1571364497,,,,reference genome,2024-06-21
GCA_027172205.1,Podarcis raffonei,Aeolian wall lizard,65483,Lepidosauria,Squamata,Lacertidae,Podarcis,93623253,61439401,1513131503,,,,reference genome,2022-12-27
GCF_027172205.1,Podarcis raffonei,Aeolian wall lizard,65483,Lepidosauria,Squamata,Lacertidae,Podarcis,93623253,61439401,1513131503,,,,reference genome,2022-12-27
GCA_964252035.1,Podarcis erhardii,,140042,Lepidosauria,Squamata,Lacertidae,Podarcis,93518625,3226442,1495977497,,,,reference genome,2024-08-31
GCA_011800845.1,Zootoca vivipara,common lizard,8524,Lepidosauria,Squamata,Lacertidae,Zootoca,92810032,219893,1464283545,,,,,2020-04-01
GCF_011800845.1,Zootoca vivipara,common lizard,8524,Lepidosauria,Squamata,Lacertidae,Zootoca,92810032,219893,1464283545,,,,,2020-04-01
GCA_964106635.2,Podarcis pityusensis,,74359,Lepidosauria,Squamata,Lacertidae,Podarcis,92418909,1719006,1417079496,,,,reference genome,2024-07-05
GCA_964234825.1,Podarcis melisellensis,,65482,Lepidosauria,Squamata,Lacertidae,Podarcis,92085810,3107267,1437044901,,,,reference genome,2024-08-31
GCA_964106915.2,Podarcis gaigeae,Skyros wall lizard,90521,Lepidosauria,Squamata,Lacertidae,Podarcis,91932266,2858450,1514623329,,,,reference genome,2024-09-17
GCA_964106645.2,Podarcis pityusensis,,74359,Lepidosauria,Squamata,Lacertidae,Podarcis,91584625,1611619,1515356318,,,,,2024-07-06
GCA_964270895.1,Podarcis filfolensis,Filfola wall lizard,65481,Lepidosauria,Squamata,Lacertidae,Podarcis,91563485,3042058,1506948896,,,,reference genome,2024-09-29
GCA_964106785.1,Podarcis gaigeae,Skyros wall lizard,90521,Lepidosauria,Squamata,Lacertidae,Podarcis,91280916,3102815,1422314362,,,,,2024-06-06
GCA_964234715.1,Podarcis melisellensis,,65482,Lepidosauria,Squamata,Lacertidae,Podarcis,91073809,3027832,1574905529,,,,,2024-08-31
GCA_965153305.2,Podarcis tiliguerta,,65485,Lepidosauria,Squamata,Lacertidae,Podarcis,90889416,2538050,1394940404,,,,reference genome,2025-07-07
GCA_947686815.1,Podarcis lilfordi,Lilford's wall lizard,74358,Lepidosauria,Squamata,Lacertidae,Podarcis,89641981,1481499,1460085851,,,,reference genome,2023-08-09
GCA_965153285.1,Podarcis tiliguerta,,65485,Lepidosauria,Squamata,Lacertidae,Podarcis,89160134,2556791,1462309935,,,,,2025-02-26
GCA_009819535.1,Lacerta agilis,Sand lizard,80427,Lepidosauria,Squamata,Lacertidae,Lacerta,86565987,6613248,1391387079,,,,reference genome,2019-12-31
GCF_009819535.1,Lacerta agilis,Sand lizard,80427,Lepidosauria,Squamata,Lacertidae,Lacerta,86565987,6613248,1391387079,,,,reference genome,2019-12-31
GCA_014706415.1,Podarcis muralis nigriventris,,1534827,Lepidosauria,Squamata,Lacertidae,Podarcis,51203085,8570969,1786136138,,,,,2020-10-02
GCA_964265115.1,Malpolon monspessulanus,Montpellier snake,184164,Lepidosauria,Squamata,Lamprophiidae,Malpolon,121923953,32743049,1752149986,,,,reference genome,2024-09-25
GCA_055773955.1,Uta stansburiana,,43653,Lepidosauria,Squamata,Phrynosomatidae,Uta,319555984,59386596,2104442790,,,,reference genome,2026-03-10
GCA_019175285.1,Sceloporus undulatus,fence lizard,8520,Lepidosauria,Squamata,Phrynosomatidae,Sceloporus,275632209,75501,1905484175,,,,reference genome,2021-07-08
GCF_019175285.1,Sceloporus undulatus,fence lizard,8520,Lepidosauria,Squamata,Phrynosomatidae,Sceloporus,275632209,75501,1905484175,,,,reference genome,2021-07-08
GCA_020142125.1,Phrynosoma platyrhinos,Desert horned lizard,52577,Lepidosauria,Squamata,Phrynosomatidae,Phrynosoma,273212747,12043,1901839624,,,,reference genome,2021-09-27
GCA_016801065.1,Sceloporus tristichus,plateau fence lizard,190870,Lepidosauria,Squamata,Phrynosomatidae,Sceloporus,269060969,91782,1815771249,,,,reference genome,2021-02-04
GCA_016801415.1,Sceloporus tristichus,plateau fence lizard,190870,Lepidosauria,Squamata,Phrynosomatidae,Sceloporus,267474498,90701,1792659486,,,,,2021-02-04
GCA_042257475.1,Asaccus caudivolvulus,,886391,Lepidosauria,Squamata,Phyllodactylidae,Asaccus,114541579,19951807,1733398839,,,,reference genome,2024-09-27
GCA_030867105.1,Liasis olivaceus,,283338,Lepidosauria,Squamata,Pythonidae,Liasis,203662644,65226870,1486119866,,,,reference genome,2023-08-24
GCA_030867085.1,Liasis olivaceus,,283338,Lepidosauria,Squamata,Pythonidae,Liasis,203536677,74672673,1478263624,,,,,2023-08-24
GCA_030035675.1,Rhineura floridana,,261503,Lepidosauria,Squamata,Rhineuridae,Rhineura,188683971,18156940,2307419594,,,,reference genome,2023-05-22
GCF_030035675.1,Rhineura floridana,,261503,Lepidosauria,Squamata,Rhineuridae,Rhineura,188683971,18156940,2307419594,,,,reference genome,2023-05-22
GCA_035046505.1,Tiliqua scincoides,,71010,Lepidosauria,Squamata,Scincidae,Tiliqua,242160784,33113817,1623332312,26.6,493.0,0.05245968729025319,reference genome,2024-01-04
GCF_035046505.1,Tiliqua scincoides,,71010,Lepidosauria,Squamata,Scincidae,Tiliqua,242160784,33113817,1623332312,26.6,493.0,0.05245968729025319,reference genome,2024-01-04
GCA_041722995.2,Acritoscincus duperreyi,,316450,Lepidosauria,Squamata,Scincidae,Acritoscincus,222269761,90404876,1567876677,,,,reference genome,2024-11-06
GCA_035046495.1,Tiliqua scincoides,,71010,Lepidosauria,Squamata,Scincidae,Tiliqua,220631699,38979350,1694434935,26.6,493.0,0.05245968729025319,,2024-01-04
GCA_965280105.1,Carinascincus ocellatus,,316445,Lepidosauria,Squamata,Scincidae,Carinascincus,215845204,98374635,1489081451,,,,reference genome,2025-05-11
GCA_041380405.1,Spondylurus nitidus,,3095121,Lepidosauria,Squamata,Scincidae,Spondylurus,208671581,199700853,1397740396,,,,reference genome,2024-08-21
GCA_055504975.1,Cryptoblepharus pulcher,,1175177,Lepidosauria,Squamata,Scincidae,Cryptoblepharus,199759265,42892375,1483019143,,,,reference genome,2026-02-24
GCA_030015325.2,Cryptoblepharus egeriae,,2509230,Lepidosauria,Squamata,Scincidae,Cryptoblepharus,190333800,100218849,1463206097,,,,reference genome,2025-08-12
GCA_021292165.1,Shinisaurus crocodilurus,Chinese crocodile lizard,52224,Lepidosauria,Squamata,Shinisauridae,Shinisaurus,296945371,3338364,2189995079,,,,reference genome,2021-12-28
GCA_051473905.1,Teratoscincus roborowskii,,102174,Lepidosauria,Squamata,Sphaerodactylidae,Teratoscincus,156212950,117383563,2077087367,,,,reference genome,2025-07-22
GCA_021028975.2,Sphaerodactylus townsendi,,933632,Lepidosauria,Squamata,Sphaerodactylidae,Sphaerodactylus,133801376,9459502,1810846735,,,,reference genome,2022-04-08
GCF_021028975.2,Sphaerodactylus townsendi,,933632,Lepidosauria,Squamata,Sphaerodactylidae,Sphaerodactylus,133801376,9459502,1810846735,,,,reference genome,2022-04-08
GCA_029931775.1,Euleptes europaea,tarantolino,460621,Lepidosauria,Squamata,Sphaerodactylidae,Euleptes,102317683,26991305,1781916107,,,,reference genome,2023-05-15
GCF_029931775.1,Euleptes europaea,tarantolino,460621,Lepidosauria,Squamata,Sphaerodactylidae,Euleptes,102317683,26991305,1781916107,,,,reference genome,2023-05-15
GCA_053574215.1,Aspidoscelis tigris stejnegeri,,2917703,Lepidosauria,Squamata,Teiidae,Aspidoscelis,115585196,91378756,1714001480,,,,reference genome,2025-11-21
GCA_023333525.2,Aspidoscelis tigris stejnegeri,,2917703,Lepidosauria,Squamata,Teiidae,Aspidoscelis,115489130,41557363,1673098074,,,,,2025-03-05
GCA_014337955.2,Aspidoscelis marmoratus,Marbled whiptail,403789,Lepidosauria,Squamata,Teiidae,Aspidoscelis,113087052,17774,1639526503,,,,reference genome,2025-11-14
GCA_053572275.1,Aspidoscelis inornatus arizonae,,2936306,Lepidosauria,Squamata,Teiidae,Aspidoscelis,106146816,34116,1527890470,,,,reference genome,2025-11-20
GCA_050042745.1,Varanus acanthurus,,62035,Lepidosauria,Squamata,Varanidae,Varanus,113866299,1773328,1546074419,,,,reference genome,2025-04-30
GCA_024294585.1,Vipera latastei,,246179,Lepidosauria,Squamata,Viperidae,Vipera,222489854,44839567,1631568913,,,,reference genome,2022-07-20
GCA_964194415.1,Vipera berus,adder,31155,Lepidosauria,Squamata,Viperidae,Vipera,218396773,4688414,1694999861,,,,reference genome,2024-06-28
GCA_965194845.1,Macrovipera schweizeri,,110205,Lepidosauria,Squamata,Viperidae,Macrovipera,214481692,3162383,1635265452,,,,reference genome,2025-03-10
GCA_046524025.1,Cerastes gasperettii,,110202,Lepidosauria,Squamata,Viperidae,Cerastes,214149504,45697377,1632725608,,,,reference genome,2025-01-06
GCA_947247035.1,Vipera ursinii,,103942,Lepidosauria,Squamata,Viperidae,Vipera,212821320,2137891,1625006165,,,,reference genome,2022-10-30
GCA_047301725.1,Vipera ammodytes,sand viper,8704,Lepidosauria,Squamata,Viperidae,Vipera,210475551,35951249,1545746728,,,,reference genome,2025-01-30
GCA_039797435.1,Crotalus adamanteus,eastern diamondback rattlesnake,8729,Lepidosauria,Squamata,Viperidae,Crotalus,208942360,67532859,1696173748,,,,reference genome,2024-05-24
GCA_039880765.1,Sistrurus catenatus,massasauga,8756,Lepidosauria,Squamata,Viperidae,Sistrurus,200181838,12532727,1559830260,,,,reference genome,2024-05-29
GCA_003400415.2,Crotalus viridis viridis,prairie rattlesnake,8742,Lepidosauria,Squamata,Viperidae,Crotalus,179897795,14888,1340198908,,,,reference genome,2019-01-08
GCA_051940845.1,Xantusia vigilis,,8547,Lepidosauria,Squamata,Xantusiidae,Xantusia,177665436,110870416,2195796972,,,,,2025-08-12
GCA_051940855.1,Xantusia vigilis,,8547,Lepidosauria,Squamata,Xantusiidae,Xantusia,175774481,120512172,2383980617,,,,reference genome,2025-08-12
GCA_051940885.1,Xantusia vigilis,,8547,Lepidosauria,Squamata,Xantusiidae,Xantusia,175774481,120512172,2207163640,,,,,2025-08-12
GCA_050624465.1,Tenrec ecaudatus,tailess tenrec,94439,Mammalia,Afrosoricida,Tenrecidae,Tenrec,165248668,54742630,3333008239,8.7,900.0,-0.20090869373752773,,2025-05-30
GCA_050624435.1,Tenrec ecaudatus,tailess tenrec,94439,Mammalia,Afrosoricida,Tenrecidae,Tenrec,163958880,41601014,3922859826,8.7,900.0,-0.20090869373752773,reference genome,2025-05-30
GCF_050624435.1,Tenrec ecaudatus,tailess tenrec,94439,Mammalia,Afrosoricida,Tenrecidae,Tenrec,163958880,41601014,3922859826,8.7,900.0,-0.20090869373752773,reference genome,2025-05-30
GCA_028564815.2,Eubalaena glacialis,North Atlantic right whale,27606,Mammalia,Artiodactyla,Balaenidae,Eubalaena,129620717,37467374,2843675187,67.0,23000000.0,-0.00953159704954043,reference genome,2023-02-09
GCF_028564815.1,Eubalaena glacialis,North Atlantic right whale,27606,Mammalia,Artiodactyla,Balaenidae,Eubalaena,129620717,37467374,2843675187,67.0,23000000.0,-0.00953159704954043,reference genome,2023-02-09
GCA_028571275.2,Eubalaena glacialis,North Atlantic right whale,27606,Mammalia,Artiodactyla,Balaenidae,Eubalaena,124856057,34529248,2603848905,67.0,23000000.0,-0.00953159704954043,,2023-02-09
GCA_028023285.1,Balaenoptera ricei,Rice's whale,2746895,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,122071569,36541936,2678442663,,,,reference genome,2023-01-30
GCF_028023285.1,Balaenoptera ricei,Rice's whale,2746895,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,122071569,36541936,2678442663,,,,reference genome,2023-01-30
GCA_965194805.1,Balaenoptera borealis,sei whale,9768,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,118917181,2585625,3234557085,74.0,20000000.0,0.04319899468508126,reference genome,2025-03-10
GCA_949987535.1,Balaenoptera acutorostrata,minke whale,9767,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,116513105,3015723,2772885358,50.0,7500000.0,-0.059876045643793674,reference genome,2023-05-01
GCF_949987535.1,Balaenoptera acutorostrata,minke whale,9767,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,116513105,3015723,2772885358,50.0,7500000.0,-0.059876045643793674,reference genome,2023-05-01
GCA_052818205.1,Balaenoptera edeni,Eden's whale,9769,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,112310848,56810546,2614755077,72.0,16000000.0,0.04658507535566625,reference genome,2025-09-24
GCA_965194825.1,Balaenoptera physalus,Fin whale,9770,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,110866263,2079521,3442538501,114.0,70000000.0,0.1450580274138662,reference genome,2025-03-10
GCA_009873245.3,Balaenoptera musculus,blue whale,9771,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,110314666,6315640,2374852541,110.0,136000000.0,0.08405101283528249,reference genome,2020-10-02
GCF_009873245.2,Balaenoptera musculus,blue whale,9771,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,110314666,6315640,2374852541,110.0,136000000.0,0.08405101283528249,reference genome,2020-10-02
GCA_041834305.1,Megaptera novaeangliae,humpback whale,9773,Mammalia,Artiodactyla,Balaenopteridae,Megaptera,107416641,36344089,3146604256,95.0,30000000.0,0.1239165735678116,reference genome,2024-09-09
GCA_040438115.1,Tragelaphus eurycerus isaaci,mountain bongo,2878564,Mammalia,Artiodactyla,Bovidae,Tragelaphus,192009155,79532,2965146561,,,,,2024-07-02
GCA_051307275.1,Bubalus kerabau,carabao,3119969,Mammalia,Artiodactyla,Bovidae,Bubalus,123151479,17364626,2678580869,,,,,2025-07-14
GCA_029407905.2,Bubalus kerabau,carabao,3119969,Mammalia,Artiodactyla,Bovidae,Bubalus,121846921,91172394,2898492518,,,,reference genome,2023-03-31
GCF_029407905.1,Bubalus kerabau,carabao,3119969,Mammalia,Artiodactyla,Bovidae,Bubalus,121846921,91172394,2898492518,,,,reference genome,2023-03-31
GCA_051106085.1,Bos taurus,domestic cattle,9913,Mammalia,Artiodactyla,Bovidae,Bos,117936486,102689456,2857459891,20.0,750000.0,-0.30008927773370253,,2025-06-26
GCA_054099735.1,Cephalophula zebra,zebra duiker,129233,Mammalia,Artiodactyla,Bovidae,Cephalophula,117253595,65811789,3923865145,,,,reference genome,2025-12-18
GCA_019923925.1,Bubalus bubalis,water buffalo,89462,Mammalia,Artiodactyla,Bovidae,Bubalus,117225556,5359742,2612882031,34.9,725000.0,-0.05597159459938328,,2021-09-10
GCF_019923925.1,Bubalus bubalis,water buffalo,89462,Mammalia,Artiodactyla,Bovidae,Bubalus,117225556,5359742,2612882031,34.9,725000.0,-0.05597159459938328,,2021-09-10
GCA_003121395.1,Bubalus bubalis,water buffalo,89462,Mammalia,Artiodactyla,Bovidae,Bubalus,117219835,22441509,2655764417,34.9,725000.0,-0.05597159459938328,,2018-05-14
GCF_003121395.1,Bubalus bubalis,water buffalo,89462,Mammalia,Artiodactyla,Bovidae,Bubalus,117219835,22441509,2655764417,34.9,725000.0,-0.05597159459938328,,2018-05-14
GCA_019923935.1,Bubalus bubalis,water buffalo,89462,Mammalia,Artiodactyla,Bovidae,Bubalus,116997125,9586610,2622444281,34.9,725000.0,-0.05597159459938328,reference genome,2021-09-10
GCF_019923935.1,Bubalus bubalis,water buffalo,89462,Mammalia,Artiodactyla,Bovidae,Bubalus,116997125,9586610,2622444281,34.9,725000.0,-0.05597159459938328,reference genome,2021-09-10
GCA_040286185.1,Bos taurus,domestic cattle,9913,Mammalia,Artiodactyla,Bovidae,Bos,114962053,111091738,3142393434,20.0,750000.0,-0.30008927773370253,,2024-06-25
GCA_005887515.3,Bos grunniens,domestic yak,30521,Mammalia,Artiodactyla,Bovidae,Bos,114386978,44716738,2831460571,26.3,667000.0,-0.1731296438029839,,2019-06-10
GCA_032405125.2,Capricornis sumatraensis,Sumatran serow,34865,Mammalia,Artiodactyla,Bovidae,Capricornis,112748084,100934918,2828266837,18.5,95000.0,-0.19241336867635095,reference genome,2024-03-13
GCF_032405125.1,Capricornis sumatraensis,Sumatran serow,34865,Mammalia,Artiodactyla,Bovidae,Capricornis,112748084,100934918,2828266837,18.5,95000.0,-0.19241336867635095,reference genome,2024-03-13
GCA_034097375.1,Bos taurus,domestic cattle,9913,Mammalia,Artiodactyla,Bovidae,Bos,112006702,35968234,3092971674,20.0,750000.0,-0.30008927773370253,,2023-12-05
GCA_043882115.1,Bos taurus,domestic cattle,9913,Mammalia,Artiodactyla,Bovidae,Bos,110926873,110926873,3104931678,20.0,750000.0,-0.30008927773370253,,2024-10-28
GCA_047652215.1,Bos taurus,domestic cattle,9913,Mammalia,Artiodactyla,Bovidae,Bos,110861251,105178524,2919435140,20.0,750000.0,-0.30008927773370253,,2025-02-11
GCA_051122635.1,Bos taurus,domestic cattle,9913,Mammalia,Artiodactyla,Bovidae,Bos,110773387,86411128,2924316046,20.0,750000.0,-0.30008927773370253,,2025-06-27
GCA_023091745.2,Budorcas taxicolor,takin,37181,Mammalia,Artiodactyla,Bovidae,Budorcas,109747698,68053581,2851638285,21.9,180000.0,-0.1629178755508971,reference genome,2022-04-22
GCF_023091745.1,Budorcas taxicolor,takin,37181,Mammalia,Artiodactyla,Bovidae,Budorcas,109747698,68053581,2851638285,21.9,180000.0,-0.1629178755508971,reference genome,2022-04-22
GCA_040970035.1,Capra hircus,goat,9925,Mammalia,Artiodactyla,Bovidae,Capra,109452762,102486474,2805112026,20.8,61000.0,-0.11117611289615903,,2024-07-31
GCA_041736475.1,Capra hircus,goat,9925,Mammalia,Artiodactyla,Bovidae,Capra,109452762,102486474,2805112026,20.8,61000.0,-0.11117611289615903,,2024-09-04
GCA_030270955.1,Bos indicus,zebu cattle,9915,Mammalia,Artiodactyla,Bovidae,Bos,108186898,1384931,2724650518,,,,,2023-06-15
GCA_030271795.1,Bos indicus,zebu cattle,9915,Mammalia,Artiodactyla,Bovidae,Bos,108134744,66839997,2717760729,,,,,2023-06-15
GCA_002742125.1,Ovis aries,sheep,9940,Mammalia,Artiodactyla,Bovidae,Ovis,107697089,2572683,2869897780,22.8,80000.0,-0.08987853004027935,,2017-11-02
GCF_002742125.1,Ovis aries,sheep,9940,Mammalia,Artiodactyla,Bovidae,Ovis,107697089,2572683,2869897780,22.8,80000.0,-0.08987853004027935,,2017-11-02
GCA_049004405.1,Capra hircus,goat,9925,Mammalia,Artiodactyla,Bovidae,Capra,106649435,91068789,2913622199,20.8,61000.0,-0.11117611289615903,,2025-03-26
GCA_000247795.2,Bos indicus,zebu cattle,9915,Mammalia,Artiodactyla,Bovidae,Bos,106310653,28375,2673949103,,,,,2014-11-25
GCF_000247795.1,Bos indicus,zebu cattle,9915,Mammalia,Artiodactyla,Bovidae,Bos,106310653,28375,2673949103,,,,,2014-11-25
GCA_030271805.1,Bos indicus,zebu cattle,9915,Mammalia,Artiodactyla,Bovidae,Bos,105316646,38655588,2738405929,,,,,2023-06-15
